Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Fix Version/s,Fix Version/s,Due Date,Votes,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Outward issue link (Blocks),Inward issue link (Cloners),Inward issue link (Cloners),Outward issue link (Cloners),Inward issue link (Duplicate),Outward issue link (Duplicate),Inward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Custom field (Business Value),Custom field (Commit Levels),Custom field (Current Status),Custom field (Design),Custom field (Design Status),Custom field (Documentation Impact),Custom field (Documentation Status),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Executed),Custom field (Found in Commit),Custom field (Function Test Status),Custom field (Must Fix),Custom field (Original story points),Custom field (Parent Link),Custom field (Rank),Custom field (Release Note),Custom field (Release Note Required),Custom field (Root Cause Analysis),Custom field (SDK Impact),Custom field (Sample/Tutorial),Sprint,Sprint,Sprint,Custom field (Steps to Reproduce),Custom field (Story Points),Custom field (System Test Impact),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Team),Custom field (Test Plan),Custom field (Test Result),Custom field (Test Result Details),Custom field (Test Type),Custom field (Triaged),Custom field (Usage),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Workaround),Custom field (gitBranch),Custom field (gitCommitsReferenced),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
Demo to use mutual-TLS with SDK-Py,FABP-201,38088,,Task,Closed,FABP,Fabric SDK Python,software,baohua,,,Medium,Done,,baohua,baohua,28/Feb/19 10:15 PM,20/Jun/19 6:16 PM,28/Oct/23 2:25 AM,20/Jun/19 6:16 PM,,Future,,,0,,,Demo the usage as optional.,,baohua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i00dyn:",,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),baohua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fix link error in tutorial,FABP-202,38089,,Task,Closed,FABP,Fabric SDK Python,software,baohua,,,Medium,Done,baohua,baohua,baohua,28/Feb/19 10:39 PM,01/Mar/19 7:19 PM,28/Oct/23 2:25 AM,01/Mar/19 7:19 PM,,,,,0,,,There's unnecessary docs in the url.,,baohua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i00dyv:",,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),baohua,,,,,,,,,"01/Mar/19 7:19 PM;baohua;https://gerrit.hyperledger.org/r/#/c/29704/;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,
fix hard coded requestor in channel_join,FABP-203,38092,,Task,Closed,FABP,Fabric SDK Python,software,baohua,,,Medium,Done,DexHunter,DexHunter,DexHunter,28/Feb/19 11:12 PM,03/Mar/19 2:37 PM,28/Oct/23 2:25 AM,03/Mar/19 2:37 PM,,,,,0,,,,,DexHunter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i00dzb:",,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),DexHunter,,,,,,,,,"28/Feb/19 11:37 PM;DexHunter;https://gerrit.hyperledger.org/r/#/c/29705/;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,
add config query test with discovery api,FABP-204,38150,,Task,Closed,FABP,Fabric SDK Python,software,baohua,,,Medium,Done,DexHunter,DexHunter,DexHunter,03/Mar/19 2:39 PM,06/Mar/19 12:19 AM,28/Oct/23 2:25 AM,06/Mar/19 12:19 AM,,,,,0,,,"* add config query test with discovery api
* pass interest proto test with discovery api",,DexHunter,,,,,,,,,,,,,,,,,,,,,,,,FABP-182,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i00eav:",,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),DexHunter,,,,,,,,,"06/Mar/19 12:18 AM;DexHunter;https://gerrit.hyperledger.org/r/#/c/29832/;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,
add get_channel_config method,FABP-205,38154,,Task,Closed,FABP,Fabric SDK Python,software,baohua,,,Medium,Done,DexHunter,DexHunter,DexHunter,04/Mar/19 2:17 AM,04/Mar/19 5:09 PM,28/Oct/23 2:25 AM,04/Mar/19 5:09 PM,,,,,0,,,add fcn: `GetConfigBlock`,,DexHunter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i00ebr:",,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),DexHunter,,,,,,,,,"04/Mar/19 3:02 AM;DexHunter;https://gerrit.hyperledger.org/r/29772;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,
update comments/docstrings to google python style,FABP-206,38168,,Task,Closed,FABP,Fabric SDK Python,software,baohua,,,Low,Done,DexHunter,DexHunter,DexHunter,04/Mar/19 5:59 PM,27/Jun/19 9:48 AM,28/Oct/23 2:25 AM,27/Jun/19 9:48 AM,,,,,0,,,"There are some comments are not following google python style, need to update them.

Google Python Style: https://github.com/google/styleguide/blob/gh-pages/pyguide.md#38-comments-and-docstrings",,DexHunter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i00efr:",,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),DexHunter,,,,,,,,,"07/Mar/19 1:53 AM;DexHunter;https://gerrit.hyperledger.org/r/#/c/29892/;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,
add transient_map support at client level,FABP-207,38196,,Task,Closed,FABP,Fabric SDK Python,software,baohua,,,Medium,Done,,DexHunter,DexHunter,05/Mar/19 3:59 PM,04/Jul/19 9:47 PM,28/Oct/23 2:25 AM,04/Jul/19 9:47 PM,,,,,0,,,"Currently, you can create a request with transient_map at channel but cannot install chaincode with transient_map at client. Need to support this at client.",,DexHunter,Kelvin_Moutet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i00ekf:",,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),DexHunter,Kelvin_Moutet,,,,,,,,"30/Jun/19 7:11 PM;Kelvin_Moutet;https://gerrit.hyperledger.org/r/c/fabric-sdk-py/+/32132;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,
fix travis ci `configtxgen` not in the path,FABP-208,38248,,Task,Closed,FABP,Fabric SDK Python,software,baohua,,,Medium,Done,DexHunter,DexHunter,DexHunter,07/Mar/19 12:24 AM,07/Mar/19 12:58 PM,28/Oct/23 2:25 AM,07/Mar/19 12:58 PM,,,,,0,,,fix travis ci `configtxgen` not in the path,,DexHunter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i00ev3:",,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),DexHunter,,,,,,,,,"07/Mar/19 12:48 AM;DexHunter;https://gerrit.hyperledger.org/r/#/c/29889/;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Improve the tutorial,FABP-209,38296,,Task,Closed,FABP,Fabric SDK Python,software,baohua,,,Medium,Done,y-arai,y-arai,y-arai,08/Mar/19 3:12 PM,08/Mar/19 4:32 PM,28/Oct/23 2:25 AM,08/Mar/19 4:32 PM,,,,,0,,,"* Note to install python3  
 * Add commands to start test network",,baohua,y-arai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i00f53:",,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),baohua,y-arai,,,,,,,,"08/Mar/19 4:31 PM;baohua;https://gerrit.hyperledger.org/r/#/c/29953/;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,
update tutorial & docs for new apis,FABP-210,38485,,Task,Closed,FABP,Fabric SDK Python,software,baohua,,,Medium,Done,DexHunter,DexHunter,DexHunter,15/Mar/19 4:13 PM,27/Jun/19 9:49 AM,28/Oct/23 2:25 AM,27/Jun/19 9:49 AM,,,,,0,,,,,DexHunter,GuillaumeCisco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i00g7r:",,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),DexHunter,GuillaumeCisco,,,,,,,,"26/Jun/19 9:55 PM;GuillaumeCisco;Any progress [~DexHunter]?;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clean and Add Tests for ChannelEventHub,FABP-211,38488,,Task,Closed,FABP,Fabric SDK Python,software,baohua,,,High,Done,GuillaumeCisco,GuillaumeCisco,GuillaumeCisco,15/Mar/19 5:34 PM,24/May/19 11:43 AM,28/Oct/23 2:25 AM,24/May/19 11:43 AM,,,,,0,,,Following https://jira.hyperledger.org/browse/FABP-193,,GuillaumeCisco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i00g87:",,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),GuillaumeCisco,,,,,,,,,"16/Mar/19 12:33 AM;GuillaumeCisco;https://gerrit.hyperledger.org/r/#/c/30121/;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Create channel from configtx file already generated,FABP-212,38561,,Task,Closed,FABP,Fabric SDK Python,software,baohua,,,Medium,Done,,Kelvin_Moutet,Kelvin_Moutet,19/Mar/19 5:37 PM,26/Jun/19 10:00 PM,28/Oct/23 2:25 AM,26/Jun/19 10:00 PM,,,,,0,,,"As we see in this code

[https://github.com/hyperledger/fabric-sdk-py/blob/865252e51079a4579fd2ea18b822c9796f480399/hfc/fabric/client.py#L810:L849]

Configtxgen could be used in the sdk but also outside of it. So we need to be able to read a config_tx file directly",,Kelvin_Moutet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i00gnj:",,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),Kelvin_Moutet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Support Async,FABP-213,38576,,Task,Closed,FABP,Fabric SDK Python,software,baohua,,,Highest,Done,GuillaumeCisco,GuillaumeCisco,GuillaumeCisco,20/Mar/19 12:36 AM,24/Apr/19 5:23 PM,28/Oct/23 2:25 AM,24/Apr/19 5:23 PM,,,,,0,,,Allow to correctly support Channel Event Hub thanks to async.,,baohua,GuillaumeCisco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i00gqv:",,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),baohua,GuillaumeCisco,,,,,,,,"24/Apr/19 5:23 PM;baohua;[https://gerrit.hyperledger.org/r/#/c/30229/];;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Client should accept peer/orderer names and/or instances for its methods,FABP-214,38635,,Task,Closed,FABP,Fabric SDK Python,software,baohua,,,Medium,Done,,Kelvin_Moutet,Kelvin_Moutet,21/Mar/19 7:00 PM,22/Mar/19 11:33 PM,28/Oct/23 2:25 AM,22/Mar/19 11:33 PM,,,,,0,,,The hfc client should handled a list of peer/orderer names and/or instances for its methods (chaincode/query/invoke) to be more compatible with user needs.,,baohua,Kelvin_Moutet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i00h3b:",,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),baohua,Kelvin_Moutet,,,,,,,,"22/Mar/19 11:33 PM;baohua;https://gerrit.hyperledger.org/r/#/c/30271/;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Retired inactive maintainer,FABP-215,38649,,Task,Closed,FABP,Fabric SDK Python,software,baohua,,,Medium,Done,,baohua,baohua,22/Mar/19 12:09 AM,24/May/19 9:56 AM,28/Oct/23 2:25 AM,24/May/19 9:56 AM,,,,,0,,,"Due to the policy, [~ck0316] is inactive for 3+ months, will put as retired.

Thanks for all the contributions!",,baohua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i00h6f:",,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),baohua,,,,,,,,,"22/Mar/19 12:12 AM;baohua;https://gerrit.hyperledger.org/r/30286;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fix Error Handling in Script,FABP-216,39165,,Task,Closed,FABP,Fabric SDK Python,software,baohua,,,Medium,Done,tijohnson,GuillaumeCisco,GuillaumeCisco,09/Apr/19 10:18 PM,28/Jun/19 4:40 PM,28/Oct/23 2:25 AM,28/Jun/19 4:40 PM,,,,,0,,,The error handling in the scripts/check_env.sh script is not enabled.,,baohua,GuillaumeCisco,Kelvin_Moutet,tijohnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i00k5b:",,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),baohua,GuillaumeCisco,Kelvin_Moutet,tijohnson,,,,,,"26/Jun/19 10:14 PM;Kelvin_Moutet;Any progress [~tijohnson] ?;;;","26/Jun/19 11:56 PM;tijohnson;Thanks for digging this out, I had lost track of it.

Actually I find this kind of 'cleanup' very soothing... I will be getting to this in the next couple of days.

 ;;;","28/Jun/19 4:40 PM;baohua;[https://gerrit.hyperledger.org/r/#/c/fabric-sdk-py/+/32100/];;;",,,,,,,,,,,,,,,,,,,,,,,,,,
Update to last protos,FABP-217,39200,,Task,Closed,FABP,Fabric SDK Python,software,baohua,,,Highest,Done,GuillaumeCisco,GuillaumeCisco,GuillaumeCisco,10/Apr/19 11:06 PM,24/May/19 11:43 AM,28/Oct/23 2:25 AM,24/May/19 11:43 AM,,,,,0,,,,,GuillaumeCisco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i00kav:",,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),GuillaumeCisco,,,,,,,,,"11/Apr/19 12:54 AM;GuillaumeCisco;[https://gerrit.hyperledger.org/r/#/c/30863/];;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cut for release 0.8.0,FABP-218,39279,,Task,Closed,FABP,Fabric SDK Python,software,baohua,,,Medium,Done,MichaelWang,MichaelWang,MichaelWang,12/Apr/19 10:24 PM,24/May/19 9:57 AM,28/Oct/23 2:25 AM,24/May/19 9:57 AM,,,,,0,,,,,baohua,MichaelWang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i00ktb:",,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),baohua,MichaelWang,,,,,,,,"24/May/19 9:57 AM;baohua;https://gerrit.hyperledger.org/r/c/fabric-sdk-py/+/30919;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Use new ChaincodeData proto,FABP-219,39285,,Task,Closed,FABP,Fabric SDK Python,software,baohua,,,Medium,Done,GuillaumeCisco,GuillaumeCisco,GuillaumeCisco,13/Apr/19 12:24 AM,24/May/19 9:57 AM,28/Oct/23 2:25 AM,24/May/19 9:57 AM,,,,,0,,,Wait for https://jira.hyperledger.org/browse/FAB-15164 to me solved,,GuillaumeCisco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i00kun:",,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),GuillaumeCisco,,,,,,,,,"13/Apr/19 12:44 AM;GuillaumeCisco;[https://gerrit.hyperledger.org/r/#/c/30925/];;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Handle CA in client,FABP-220,39372,,Task,Closed,FABP,Fabric SDK Python,software,baohua,,,Medium,Done,GuillaumeCisco,GuillaumeCisco,GuillaumeCisco,18/Apr/19 12:08 AM,18/Apr/19 10:17 AM,28/Oct/23 2:25 AM,18/Apr/19 10:17 AM,,,,,0,,,,,GuillaumeCisco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i00lcf:",,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),GuillaumeCisco,,,,,,,,,"18/Apr/19 12:58 AM;GuillaumeCisco;[https://gerrit.hyperledger.org/r/#/c/30985/];;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nominate new maintainer,FABP-221,39378,,Task,Closed,FABP,Fabric SDK Python,software,baohua,,,Medium,Done,baohua,baohua,baohua,18/Apr/19 10:15 AM,19/Apr/19 2:49 PM,28/Oct/23 2:25 AM,19/Apr/19 2:49 PM,,,,,1,,,"[~GuillaumeCisco] has been working actively on the project for 3+ months, and he is keeping proposing thoughts in the weekly meeting discussions.

Hence he is qualified to become a new maintainer of the project, and expect to continue with more contributions and help other developers.",,baohua,GuillaumeCisco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i00ldj:",,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),baohua,GuillaumeCisco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prepare release 0.0.8 for pypi.,FABP-222,39400,,Task,Closed,FABP,Fabric SDK Python,software,baohua,,,Medium,Done,MichaelWang,MichaelWang,MichaelWang,19/Apr/19 3:12 PM,24/May/19 11:44 AM,28/Oct/23 2:25 AM,24/May/19 11:44 AM,,,,,0,,,,,MichaelWang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i00lhr:",,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),MichaelWang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minor issues in tutorial,FABP-223,39427,,Story,Closed,FABP,Fabric SDK Python,software,baohua,,,Lowest,Done,hengfun,hengfun,hengfun,22/Apr/19 7:46 AM,22/Apr/19 8:14 AM,28/Oct/23 2:25 AM,22/Apr/19 8:14 AM,,,,,0,,,Updated tutorial.md commands,,hengfun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i00lnb:",,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),hengfun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enable TOX coala ,FABP-224,39633,,Bug,Closed,FABP,Fabric SDK Python,software,baohua,,,Medium,Done,tijohnson,tijohnson,tijohnson,06/May/19 11:58 AM,07/Jun/19 11:51 PM,28/Oct/23 2:25 AM,07/Jun/19 11:51 PM,,,,,0,,,"There was a script (verify-commit.sh) that performed some basic validation of the last commit message and searched for 'trailing white space'. This script has been failing for a number of months but due to bugs in the script the errors were ignored by the build. The initial idea was to fix the script but 'tox' & 'coala' provide a much more sophisticated solution and it is the standard approach approved/supported by LF. The reason this bug is against FABP is that the vast majority of the changes are in the fabric-sdk-py repo. I will enhance the tox.ini config file (fabric-sdk-py is already utilizing /tox' for pylint) to enable coala.

I will be adding a config file for coala (.coala). I will be enabling four checks: GitCommit, YAML, ShellCheck & JSON. Enabling these checks will require minor changes to existing scripts. The vast majority of changes are limited to whitespace. I tuned to coala config to minimize the number of files that need to be fixed. The fabric-sdk-py team can decide if they want further tune the coala configuration.

One of the big wins for tox is that it can be run from the desktop on a fabric-sdk-py repo.",,baohua,sambhavdutt,tijohnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i00mpj:",,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),baohua,sambhavdutt,tijohnson,,,,,,,"06/May/19 5:30 PM;baohua;[https://gerrit.hyperledger.org/r/#/c/31220/];;;","09/May/19 7:58 AM;tijohnson;The 'coala' project appears to be on hiatus. We waiting for a statement of policy from LF management with respect to this issue. ;;;","09/May/19 5:21 PM;baohua;OK, let's watch on it!;;;",,,,,,,,,,,,,,,,,,,,,,,,,,
Chaincode query fails in case of status != 200,FABP-225,39735,,Task,Closed,FABP,Fabric SDK Python,software,baohua,,,Medium,Done,Kelvin_Moutet,Kelvin_Moutet,Kelvin_Moutet,09/May/19 9:23 PM,10/May/19 11:25 AM,28/Oct/23 2:25 AM,10/May/19 11:25 AM,,,,,0,,,,,Kelvin_Moutet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i00n9z:",,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),Kelvin_Moutet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Channel Event Hub unregister/disconnect option,FABP-226,39912,,Task,Closed,FABP,Fabric SDK Python,software,baohua,,,Medium,Done,GuillaumeCisco,GuillaumeCisco,GuillaumeCisco,20/May/19 6:01 PM,20/Jun/19 6:14 PM,28/Oct/23 2:25 AM,20/Jun/19 6:14 PM,,,,,0,,,Implement Channel Event Hub unregister/disconnect option,,GuillaumeCisco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i00o7z:",,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),GuillaumeCisco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Channel Event Hub startBlock/endBlock philosophy,FABP-227,39913,,Task,Closed,FABP,Fabric SDK Python,software,baohua,,,Medium,Done,GuillaumeCisco,GuillaumeCisco,GuillaumeCisco,20/May/19 6:07 PM,24/Jul/19 9:29 AM,28/Oct/23 2:25 AM,24/Jul/19 9:29 AM,,,,,0,,,"Implement Channel Event Hub startBlock/endBlock option.

connect method: [https://fabric-sdk-node.github.io/release-1.4/global.html#ConnectOptions]

RegistrationOpts: [https://fabric-sdk-node.github.io/release-1.4/global.html#RegistrationOpts]

connect method already has start/stop options, maybe not necessary to update them.",,GuillaumeCisco,,,,,,,,,,,,,,,,,,,FABP-229,FABP-228,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i00o87:",,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),GuillaumeCisco,,,,,,,,,"23/Jul/19 1:11 AM;GuillaumeCisco;[https://gerrit.hyperledger.org/r/#/c/fabric-sdk-py/+/32433];;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Channel Event Hub startBlock/endBlock option,FABP-228,39914,,Task,Closed,FABP,Fabric SDK Python,software,baohua,,,Medium,Duplicate,,GuillaumeCisco,GuillaumeCisco,20/May/19 6:08 PM,20/Jun/19 6:16 PM,28/Oct/23 2:25 AM,20/Jun/19 6:16 PM,,,,,0,,,"Implement Channel Event Hub startBlock/endBlock option.

connect method: [https://fabric-sdk-node.github.io/release-1.4/global.html#ConnectOptions]

RegistrationOpts: [https://fabric-sdk-node.github.io/release-1.4/global.html#RegistrationOpts]

connect method already has start/stop options, maybe not necessary to update them.",,GuillaumeCisco,,,,,,,,,,,,,,,,,,,,,FABP-227,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i00o8f:",,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),GuillaumeCisco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Channel Event Hub startBlock/endBlock option,FABP-229,39915,,Task,Closed,FABP,Fabric SDK Python,software,baohua,,,High,Duplicate,,GuillaumeCisco,GuillaumeCisco,20/May/19 6:08 PM,20/Jun/19 6:15 PM,28/Oct/23 2:25 AM,20/Jun/19 6:15 PM,,,,,0,,,"Implement Channel Event Hub startBlock/endBlock option.

connect method: [https://fabric-sdk-node.github.io/release-1.4/global.html#ConnectOptions]

RegistrationOpts: [https://fabric-sdk-node.github.io/release-1.4/global.html#RegistrationOpts]

connect method already has start/stop options, maybe not necessary to update them.",,GuillaumeCisco,,,,,,,,,,,,,,,,,,,,,FABP-227,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i00o8n:",,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),GuillaumeCisco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
