Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Affects Version/s,Fix Version/s,Fix Version/s,Component/s,Component/s,Component/s,Component/s,Component/s,Due Date,Votes,Labels,Labels,Labels,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Inward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Inward issue link (Duplicate),Outward issue link (Duplicate),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (Business Value),Custom field (Commit Levels),Custom field (Current Status),Custom field (Design),Custom field (Design Status),Custom field (Documentation Impact),Custom field (Documentation Status),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Executed),Custom field (External issue ID),Custom field (Flagged),Custom field (Found in Commit),Custom field (Function Test Status),Custom field (Must Fix),Custom field (Original story points),Custom field (Parent Link),Custom field (Rank),Custom field (Release Note),Custom field (Release Note Required),Custom field (Root Cause Analysis),Custom field (SDK Impact),Custom field (Sample/Tutorial),Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Custom field (Steps to Reproduce),Custom field (Story Points),Custom field (System Test Impact),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Team),Custom field (Test Plan),Custom field (Test Result),Custom field (Test Result Details),Custom field (Test Type),Custom field (Triaged),Custom field (Usage),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Workaround),Custom field (gitCommitsReferenced),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
Executor does not wait to resubmit a Transaction if the TP Crashes,STL-1404,33474,,Bug,Backlog,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,,,agunde,agunde,05/Sep/18 1:39 AM,21/May/19 11:33 PM,28/Oct/23 3:34 AM,,,,,,,,,,,,0,Needs-Review,,,,,"If the transaction processor crashes during execution, the executor will resolve the future with an internal error. The transaction is then resubmitted automatically like all internal errors but since there is no matching transaction processor for the transaction, the transaction is never processed and can lock up the scheduler.

This can be reproduced by adding a syntax error into the python intkey tp and submitted a transaction against a validator running a serial scheduler. Once the tp dies, fix the issues and relaunch the tp. Submit a new transaction and you will see it hang.

 

Either more options for types of Internal Errors should be added or proper waiting for a matching tp to be present should be verified.",,agunde,danintel,mithun2679,shresthi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,,,Unset,No,,,"1|hzzpfb:",,,,Unset,Unset,,,,,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),agunde,danintel,mithun2679,shresthi,,,,,"06/Sep/18 2:05 AM;mithun2679;any example where to add syntax error in intkey TP. It will be nice if diff of  change set is attached to the bug.;;;","06/Sep/18 8:37 AM;danintel;Here is a simple example that should generate an error and exception in the intkey TP for decrement operations:

{{--- sawtooth-core/sdk/examples/intkey_python/sawtooth_intkey/processor/handler.py 2018-08-27 15:33:02.395473220 -0700}}
{{+++ sawtooth-core/sdk/examples/intkey_python/sawtooth_intkey/processorhandler.py 2018-09-05 16:35:50.607101877 -0700}}
{{@@ -201,6 +201,7 @@}}
{{ def _do_dec(name, value, state):}}
{{ msg = 'Decrementing ""\{n}"" by \{v}'.format(n=name, v=value)}}
{{ LOGGER.debug(msg)}}
{{+ this_is_a_bug}}

{{ if name not in state:}}
{{ raise InvalidTransaction(}}

 ;;;","13/Oct/18 4:06 AM;shresthi;Verified the issue in Sawtooth 1.1.

If Transaction processor is crashed, restarted and renamed, then executor/ scheduler not allow to submit the transaction.
In logs, executor hang with below trace:
*[2018-10-12 15:53:34.852 [Thread-64] executor INFO] Waiting for transaction processor (intkey, 1.0)*

Issue is similar to STL-1167, STL-1373 and STL-1450.;;;",,,,,,,,
Decide where to store in-memory extended batch and transaction indices,STL-1405,33479,,Improvement,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,adamludvik,boydjohnson,mfford,05/Sep/18 4:04 AM,08/Sep/18 2:27 AM,28/Oct/23 3:34 AM,08/Sep/18 2:27 AM,,,,,,,,,,,0,,,,,,"Research activity to determine if this should be in the block manager, or some separate data structure that gets updated with the block manager.

The decisions will be documented at the completion of this story that will result subsequent stories for this epic.",,mfford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,STL-1401,,,No,,,,Unset,No,,,"1|hzzpg7:",,,,Unset,Unset,Sprint 55,,,,,,,(Please add steps to reproduce),1.0,Unset,,,,,,Unset,,Unset,,(Please add usage information),mfford,,,,,,,,,,,,,,,,,,
Decide where and how to store persisted extended batch and transaction indices,STL-1406,33480,,Improvement,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,boydjohnson,adamludvik,adamludvik,05/Sep/18 4:05 AM,08/Sep/18 2:27 AM,28/Oct/23 3:34 AM,08/Sep/18 2:27 AM,,,,,,,,,,,0,,,,,,"* Can we continue to use the block store's index? 
 * Or do we need a new index, possibly CoW or containing only data up to the common ancestor of all forks?",,adamludvik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,STL-1401,,,No,,,,Unset,No,,,"1|hzzpgf:",,,,Unset,Unset,Sprint 55,,,,,,,(Please add steps to reproduce),1.0,Unset,,,,,,Unset,,Unset,,(Please add usage information),adamludvik,,,,,,,,,,,,,,,,,,
Determine how large the critical section can be when checking for batch/transaction dependencies/duplicates,STL-1407,33481,,Improvement,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,boydjohnson,boydjohnson,boydjohnson,05/Sep/18 4:06 AM,08/Sep/18 2:27 AM,28/Oct/23 3:34 AM,08/Sep/18 2:27 AM,,,,,,,,,,,0,,,,,,"# Checking all batches in a block (biggest)
 # Checking a single batch in a block
 # Checking a single transaction in a block
 # No critical section (smallest)

Upon the completion of this task, further stories will be made.",,boydjohnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,STL-1401,,,No,,,,Unset,No,,,"1|hzwujb:",,,,Unset,Unset,Sprint 55,,,,,,,(Please add steps to reproduce),1.0,Unset,,,,,,Unset,,Unset,,(Please add usage information),boydjohnson,,,,,,,,,,,,,,,,,,
Research how configurations changes work in existing library and produce plan to integrate with Sawtooth,STL-1408,33483,,Improvement,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,ltseeley,ltseeley,mfford,05/Sep/18 4:32 AM,07/Sep/18 4:45 AM,28/Oct/23 3:34 AM,07/Sep/18 4:45 AM,,,,,,,,,,,0,,,,,,This will result in implementation stories from the plan.,,ltseeley,mfford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,STL-1400,,,No,,,,Unset,No,,,"1|hzzph3:",,,,Unset,Unset,Sprint 55,,,,,,,(Please add steps to reproduce),2.0,Unset,,,,,,Unset,,Unset,,(Please add usage information),ltseeley,mfford,,,,,,,"07/Sep/18 4:44 AM;ltseeley;The following tasks have been created as a result of this research task:
 * STL-1420
 * STL-1421
 * STL-1422
 * STL-1423;;;",,,,,,,,,,
Prepare Raft demo,STL-1409,33484,,Improvement,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,adamludvik,ltseeley,mfford,05/Sep/18 4:33 AM,28/Sep/18 2:46 AM,28/Oct/23 3:34 AM,28/Sep/18 2:46 AM,,,,,,,,,,,0,,,,,,This will result in a demo of Raft that will be given to the HL Sawtooth community (likely as a HL Sawtooth Tech Forum).,,mfford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,STL-1400,,,No,,,,Unset,No,,,"1|hzzphz:",,,,Unset,Unset,Sprint 55,,,,,,,(Please add steps to reproduce),3.0,Unset,,,,,,Unset,,Unset,,(Please add usage information),mfford,,,,,,,,,,,,,,,,,,
Write Initial Intro Section for Raft Documentation,STL-1410,33485,,Improvement,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,adamludvik,ltseeley,mfford,05/Sep/18 4:35 AM,08/Sep/18 12:48 AM,28/Oct/23 3:34 AM,08/Sep/18 12:48 AM,,,,,,,,,,,0,,,,,,,,mfford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,STL-1400,,,No,,,,Unset,No,,,"1|hzzphb:",,,,Unset,Unset,Sprint 55,,,,,,,(Please add steps to reproduce),1.0,Unset,,,,,,Unset,,Unset,,(Please add usage information),mfford,,,,,,,,,,,,,,,,,,
Publish documentation to Sawtooth docs page,STL-1411,33486,,Improvement,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,rberg2,adamludvik,adamludvik,05/Sep/18 4:35 AM,13/Sep/18 1:45 AM,28/Oct/23 3:34 AM,13/Sep/18 1:45 AM,,,,,,,,,,,0,,,,,,,,adamludvik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,STL-1400,,,No,,,,Unset,No,,,"1|hzzphj:",,,,Unset,Unset,Sprint 55,,,,,,,(Please add steps to reproduce),1.0,Unset,,,,,,Unset,,Unset,,(Please add usage information),adamludvik,,,,,,,,,,,,,,,,,,
Add doc-builds to Raft-CI,STL-1412,33487,,Improvement,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,adamludvik,ltseeley,mfford,05/Sep/18 4:35 AM,13/Sep/18 1:14 AM,28/Oct/23 3:34 AM,13/Sep/18 1:14 AM,,,,,,,,,,,0,,,,,,,,mfford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,STL-1400,,,No,,,,Unset,No,,,"1|hzzphr:",,,,Unset,Unset,Sprint 55,,,,,,,(Please add steps to reproduce),1.0,Unset,,,,,,Unset,,Unset,,(Please add usage information),mfford,,,,,,,,,,,,,,,,,,
"Write configuration and deployment section
",STL-1413,33488,,Improvement,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,ltseeley,adamludvik,adamludvik,05/Sep/18 4:36 AM,22/Sep/18 4:15 AM,28/Oct/23 3:34 AM,22/Sep/18 4:14 AM,,,,,,,,,,,0,,,,,,Describe how to use settings txns,,adamludvik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,STL-1400,,,No,,,,Unset,No,,,"1|hzzrsf:",,,,Unset,Unset,Sprint 55,,,,,,,(Please add steps to reproduce),3.0,Unset,,,,,,Unset,,Unset,,(Please add usage information),adamludvik,,,,,,,,,,,,,,,,,,
Gather changes for Sys Admin Guide update,STL-1414,33492,,Improvement,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,achenette,achenette,achenette,05/Sep/18 6:21 AM,19/Sep/18 7:54 AM,28/Oct/23 3:34 AM,19/Sep/18 7:54 AM,,,,,Documentation,,,,,,0,Documentation,,,,,"Work with sysadmin experts to identify errors, out-of-date information, and areas of confusion in the current System Administrator's Guide.",,achenette,,,,,,,,,,,,,,,,,,,,,,,,,,STL-1432,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,STL-1402,,,No,,,,Unset,No,,,"1|hzzpiv:",,,,Unset,Unset,Sprint 55,,,,,,,(Please add steps to reproduce),5.0,Unset,,,,,,Unset,,Unset,,(Please add usage information),achenette,,,,,,,,,,,,,,,,,,
Compare SGX and non-SGX procedures in Sys Admin Guide,STL-1415,33493,,Improvement,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,achenette,achenette,achenette,05/Sep/18 6:28 AM,14/Sep/18 8:45 AM,28/Oct/23 3:34 AM,12/Sep/18 7:09 AM,,,,,Documentation,,,,,,0,Documentation,,,,,Work with sysadmin and Sawtooth experts to determine which steps in the SGX procedure are valid for a non-SGX Sawtooth node.,,achenette,cliveb,,,,,,,,,,,,,,,,,,,,,,,,,STL-1432,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,STL-1402,,,No,,,,Unset,No,,,"1|hzzpj3:",,,,Unset,Unset,Sprint 55,,,,,,,(Please add steps to reproduce),1.0,Unset,,,,,,Unset,,Unset,,(Please add usage information),achenette,cliveb,,,,,,,,,,,,,,,,,
Prioritize and schedule doc changes for Sys Admin update,STL-1416,33494,,Improvement,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,achenette,achenette,achenette,05/Sep/18 6:44 AM,15/Sep/18 1:07 AM,28/Oct/23 3:34 AM,15/Sep/18 1:07 AM,,,,,Documentation,,,,,,0,Documentation,,,,,,,achenette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,STL-1402,,,No,,,,Unset,No,,,"1|hzzpjb:",,,,Unset,Unset,Sprint 55,,,,,,,(Please add steps to reproduce),1.0,Unset,,,,,,Unset,,Unset,,(Please add usage information),achenette,,,,,,,,,,,,,,,,,,
Read through sysadmin guide and identify inaccuracies ,STL-1417,33514,,Task,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,rberg2,rberg2,rberg2,05/Sep/18 11:23 PM,14/Sep/18 1:05 AM,28/Oct/23 3:34 AM,14/Sep/18 1:05 AM,,,,,,,,,,,0,,,,,,,,rberg2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,STL-1402,,,No,,,,Unset,No,,,"1|hzzpjr:",,,,Unset,Unset,Sprint 55,,,,,,,(Please add steps to reproduce),1.0,Unset,,,,,,Unset,,Unset,,(Please add usage information),rberg2,,,,,,,,,,,,,,,,,,
Update sysadmin guide,STL-1418,33515,,Task,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,rberg2,rberg2,rberg2,05/Sep/18 11:24 PM,27/Sep/18 1:05 AM,28/Oct/23 3:34 AM,27/Sep/18 1:05 AM,,,,,,,,,,,0,,,,,,,,rberg2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,STL-1402,,,No,,,,Unset,No,,,"1|hzzpjz:",,,,Unset,Unset,Sprint 55,,,,,,,(Please add steps to reproduce),5.0,Unset,,,,,,Unset,,Unset,,(Please add usage information),rberg2,,,,,,,,,,,,,,,,,,
Restarted nodes crash when rejoining the network,STL-1419,33516,,Bug,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,adamludvik,ltseeley,ltseeley,06/Sep/18 12:01 AM,20/Sep/18 1:05 AM,28/Oct/23 3:34 AM,20/Sep/18 1:05 AM,,,,,,,,,,,0,,,,,,,,ltseeley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,STL-1400,,,No,,,,Unset,No,,,"1|hzzpgv:",,,,Unset,Unset,Sprint 55,,,,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),ltseeley,,,,,,,,,,,,,,,,,,
Implement membership changes,STL-1420,33558,,Improvement,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,ltseeley,ltseeley,ltseeley,07/Sep/18 4:29 AM,18/Sep/18 12:53 AM,28/Oct/23 3:34 AM,18/Sep/18 12:53 AM,,,,,,,,,,,0,,,,,,,,ltseeley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,STL-1400,,,No,,,,Unset,No,,,"1|hzzptr:",,,,Unset,Unset,Sprint 55,,,,,,,(Please add steps to reproduce),3.0,Unset,,,,,,Unset,,Unset,,(Please add usage information),ltseeley,,,,,,,,,,,,,,,,,,
Suspend block publishing while membership is being changed,STL-1421,33559,,Improvement,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,ltseeley,ltseeley,ltseeley,07/Sep/18 4:29 AM,18/Sep/18 12:53 AM,28/Oct/23 3:34 AM,18/Sep/18 12:53 AM,,,,,,,,,,,0,,,,,,,,ltseeley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,STL-1400,,,No,,,,Unset,No,,,"1|hzzpi7:",,,,Unset,Unset,Sprint 55,,,,,,,(Please add steps to reproduce),1.0,Unset,,,,,,Unset,,Unset,,(Please add usage information),ltseeley,,,,,,,,,,,,,,,,,,
Shut down raft engine when its membership is removed,STL-1422,33560,,Improvement,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,ltseeley,ltseeley,ltseeley,07/Sep/18 4:31 AM,28/Sep/18 3:18 AM,28/Oct/23 3:34 AM,28/Sep/18 3:18 AM,,,,,,,,,,,0,,,,,,,,ltseeley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,STL-1400,,,No,,,,Unset,No,,,"1|hzzryf:",,,,Unset,Unset,Sprint 55,,,,,,,(Please add steps to reproduce),1.0,Unset,,,,,,Unset,,Unset,,(Please add usage information),ltseeley,,,,,,,,,,,,,,,,,,
Implement tooling for easier deployment of raft nodes,STL-1423,33561,,Improvement,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,adamludvik,ltseeley,ltseeley,07/Sep/18 4:32 AM,14/Sep/18 2:57 AM,28/Oct/23 3:34 AM,14/Sep/18 2:57 AM,,,,,,,,,,,0,,,,,,,,ltseeley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,STL-1400,,,No,,,,Unset,No,,,"1|hzzptz:",,,,Unset,Unset,Sprint 55,,,,,,,(Please add steps to reproduce),3.0,Unset,,,,,,Unset,,Unset,,(Please add usage information),ltseeley,,,,,,,,,,,,,,,,,,
Implement naive algorithm for checking duplicates/dependencies without depending on the block store remaining constant,STL-1424,33577,,Improvement,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,boydjohnson,adamludvik,adamludvik,08/Sep/18 2:24 AM,16/Sep/18 11:41 PM,28/Oct/23 3:34 AM,16/Sep/18 11:41 PM,,,,,,,,,,,0,,,,,,,,adamludvik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,STL-1401,,,No,,,,Unset,No,,,"1|hzwuef:",,,,Unset,Unset,Sprint 55,,,,,,,(Please add steps to reproduce),3.0,Unset,,,,,,Unset,,Unset,,(Please add usage information),adamludvik,,,,,,,,,,,,,,,,,,
Measure runtime characteristics of duplicate/dependency algorithm and determine best path for optimization,STL-1425,33578,,Improvement,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,boydjohnson,adamludvik,adamludvik,08/Sep/18 2:26 AM,22/Sep/18 4:44 AM,28/Oct/23 3:34 AM,22/Sep/18 4:44 AM,,,,,,,,,,,0,,,,,,,,adamludvik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"22/Sep/18 2:59 AM;boydjohnson;test_duplicates_dependencies_20_iter_branch.png;https://jira.hyperledger.org/secure/attachment/15860/test_duplicates_dependencies_20_iter_branch.png","22/Sep/18 2:59 AM;boydjohnson;test_duplicates_dependencies_prefix.png;https://jira.hyperledger.org/secure/attachment/15859/test_duplicates_dependencies_prefix.png",,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,STL-1401,,,No,,,,Unset,No,,,"1|hzwuev:",,,,Unset,Unset,Sprint 55,,,,,,,(Please add steps to reproduce),2.0,Unset,,,,,,Unset,,Unset,,(Please add usage information),adamludvik,,,,,,,,,,,,,,,,,,
Optimize duplicate/dependency checking algorithm based on runtime characteristics,STL-1426,33579,,Improvement,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,boydjohnson,adamludvik,adamludvik,08/Sep/18 2:27 AM,14/Sep/18 5:09 AM,28/Oct/23 3:34 AM,14/Sep/18 5:06 AM,,,,,,,,,,,0,,,,,,,,adamludvik,mfford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,STL-1401,,,No,,,,Unset,No,,,"1|hzwuf3:",,,,Unset,Unset,Sprint 55,,,,,,,(Please add steps to reproduce),0.0,Unset,,,,,,Unset,,Unset,,(Please add usage information),adamludvik,mfford,,,,,,,"14/Sep/18 5:06 AM;mfford;Closed in favor of new stories STL-1440 & STL-1441;;;",,,,,,,,,,
Revamping of the Java SDK,STL-1427,33588,,Improvement,Backlog,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,,LeonardoCarvalho,LeonardoCarvalho,LeonardoCarvalho,08/Sep/18 9:43 PM,21/May/19 11:33 PM,28/Oct/23 3:34 AM,,,,,,Java SDK,,,,,,0,Needs-Review,,,,," 

   To better accomodate parallel development, tests and evaluation on changes, and create a multi-threaded solution, I suggest a change on the current format of the project.

   A multi-tiered Maven project would help in this, give the following:
 *   A parent POM, holding common artifacts, plugins and dependencies versions, building and configuration parameters, etc
 * Initially, the following modules:
 ** Commons : will hold the crypto settings and operations, marshall/unmarshall of messages, general utilities;
 ** Transaction Processor: hold the ZeroMQ setup and behavior, interfaces, messaging pipelines, etc;
 ** REST modules, initially based in Jersey : handle the REST elements and operations needed to interact with the validators

 

   Since Java 9 is EOL, and 8 will be next year ([Oracle roadmap|http://www.oracle.com/technetwork/java/javase/eol-135779.html]) the SDK would use Java 10.

   The use of TestNG on tests will be preferred over JUnit to reuse the tests results.

 

    There's a [runnable code base|https://github.com/CarvalhoLeonardo/sawtooth-sdk-java/tree/development] that I intend to do layered PRs on the project, to furthr evaluation of my ideas. Please give all feedback you can.",,LeonardoCarvalho,,,,,,,,,,,,,,,,,,,,STL-908,STL-1172,STL-1175,STL-1114,STL-504,STL-461,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,,,Unset,No,,,"1|hzzpz3:",,,,Unset,Unset,,,,,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),LeonardoCarvalho,,,,,,,,,,,,,,,,,,
Prepare to publish sawtooth-raft debs,STL-1428,33628,,Improvement,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,rberg2,adamludvik,adamludvik,11/Sep/18 3:06 AM,26/Sep/18 5:04 AM,28/Oct/23 3:34 AM,26/Sep/18 5:04 AM,,,,,,,,,,,0,,,,,,,,adamludvik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,STL-1400,,,No,,,,Unset,No,,,"1|hzzq6v:",,,,Unset,Unset,Sprint 55,,,,,,,(Please add steps to reproduce),2.0,Unset,,,,,,Unset,,Unset,,(Please add usage information),adamludvik,,,,,,,,,,,,,,,,,,
Create tooling to publish sawtooth-raft docker image,STL-1429,33630,,Improvement,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,adamludvik,adamludvik,adamludvik,11/Sep/18 3:10 AM,25/Sep/18 6:11 AM,28/Oct/23 3:34 AM,25/Sep/18 6:11 AM,,,,,,,,,,,0,,,,,,,,adamludvik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,STL-1400,,,No,,,,Unset,No,,,"1|hzzr8n:",,,,Unset,Unset,Sprint 55,,,,,,,(Please add steps to reproduce),2.0,Unset,,,,,,Unset,,Unset,,(Please add usage information),adamludvik,,,,,,,,,,,,,,,,,,
Build failure in sawtooth-sdk-javascript >> master,STL-1430,33632,,Bug,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,adamludvik,mfford,mfford,11/Sep/18 3:13 AM,21/May/19 4:59 AM,28/Oct/23 3:34 AM,21/May/19 4:59 AM,,,,,Javascript SDK,,,,,,0,,,,,,Issues with build completing for this SDK in Jenkins. Preliminary investigation by Richard Berg indicates it's related to Nose2 errors on the SDK side.,,mfford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,,,Unset,No,,,"1|hzwufj:",,,,Unset,Unset,Sprint 55,,,,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),mfford,,,,,,,,,,,,,,,,,,
