Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Component/s,Component/s,Component/s,Component/s,Component/s,Due Date,Votes,Labels,Labels,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Outward issue link (Cloners),Inward issue link (Duplicate),Inward issue link (Duplicate),Outward issue link (Duplicate),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (Business Value),Custom field (Commit Levels),Custom field (Current Status),Custom field (Design),Custom field (Design Status),Custom field (Documentation Impact),Custom field (Documentation Status),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Executed),Custom field (External issue ID),Custom field (Found in Commit),Custom field (Function Test Status),Custom field (Must Fix),Custom field (Original story points),Custom field (Parent Link),Custom field (Rank),Custom field (Release Note),Custom field (Release Note Required),Custom field (Root Cause Analysis),Custom field (SDK Impact),Custom field (Sample/Tutorial),Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Custom field (Steps to Reproduce),Custom field (Story Points),Custom field (System Test Impact),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Team),Custom field (Test Plan),Custom field (Test Result),Custom field (Test Result Details),Custom field (Test Type),Custom field (Triaged),Custom field (Usage),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Workaround),Custom field (gitCommitsReferenced),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
Create long-lived consensus branch,STL-826,22904,Improvement,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,adamludvik,adamludvik,adamludvik,28/Oct/17 5:52 AM,07/Nov/17 12:37 AM,28/Oct/23 3:34 AM,07/Nov/17 12:37 AM,,,,,,,0,,,,,,,adamludvik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STL-814,,,,,,,,,,"1|hzylif:",,,,,,Sprint 45,,,,,,,,,,,1.0,,,,,,,,,,,,adamludvik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Create consensus.proto protobuf messages,STL-827,22905,Improvement,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,drozd,adamludvik,adamludvik,28/Oct/17 5:53 AM,07/Dec/17 2:04 AM,28/Oct/23 3:34 AM,29/Nov/17 6:32 AM,,,,,,,0,CE-Msgs,,,,"New protobuf messages need to be created for the consensus engine interface. See the final design document. Block and ConsensusMessages are roughly defined. A pair of request, response messages needs to be created for every method.",,adamludvik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STL-814,,,,,,,,,,"1|hzwz1b:",,,,,,Sprint 45,Sprint 46,,,,,,,,,,2.0,,,,,,,,,,,,adamludvik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Define consensus proxy interface,STL-828,22906,Improvement,Backlog,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,,drozd,adamludvik,adamludvik,28/Oct/17 5:54 AM,21/May/19 11:34 PM,28/Oct/23 3:34 AM,,,,,,,,0,CE-Proxy,Needs-Review,,,"Meet with Adam, Peter to discuss

 ",,adamludvik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzwunz:",,,,,,Sprint 50,,,,,,,,,,,1.0,,,,,,,,,,,,adamludvik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consensus Proxy unit tests,STL-829,22907,Improvement,Backlog,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,,drozd,adamludvik,adamludvik,28/Oct/17 5:54 AM,21/May/19 11:33 PM,28/Oct/23 3:34 AM,,,,,,,,0,CE-Proxy,Needs-Review,,,Create unit tests for the consensus proxy,,adamludvik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzwuo7:",,,,,,Sprint 50,,,,,,,,,,,2.0,,,,,,,,,,,,adamludvik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Implement P2P messaging,STL-830,22908,Improvement,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,adamludvik,adamludvik,adamludvik,28/Oct/17 5:55 AM,25/Apr/18 6:28 AM,28/Oct/23 3:34 AM,25/Apr/18 6:28 AM,,,,,,,0,CE-SDK,,,,See design doc. This should be similar to the Transaction Processor SDK in that it handles (un)marshaling messages and listening/sending messages.,,adamludvik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STL-814,,,,,,,,,,"1|hzz3xj:",,,,,,Sprint 50,,,,,,,,,,,2.0,,,,,,,,,,,,adamludvik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add Raft library to BoM and runtime deps,STL-832,22910,Improvement,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,adamludvik,adamludvik,adamludvik,28/Oct/17 5:56 AM,23/Jun/18 1:01 AM,28/Oct/23 3:34 AM,23/Jun/18 1:01 AM,,,,,,,0,,,,,"Once the ELA decision is final, add the library to Sawtooth.",,adamludvik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STL-1131,,,,,,,,,,"1|hzzdpj:",,,,,,Sprint 52,,,,,,,,,,,2.0,,,,,,,,,,,,adamludvik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fix typos in c++ sdk example intkey transaction processor,STL-833,22911,Bug,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Lowest,Done,ibansalankit,dan.middleton@intel.com,dan.middleton@intel.com,28/Oct/17 6:13 AM,19/Jan/18 5:04 AM,28/Oct/23 3:34 AM,19/Jan/18 5:04 AM,,,,,,,0,help-wanted,,,,"sdk/examples/intkey_cxx/int_key_transaction_processor.cpp

around line 255: 

// currently we expect the command line arguement to be

 

around line 283:

std::cerr << ""Exiting do to uknown exception."" << std::endl;",,dan.middleton@intel.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzylin:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,dan.middleton@intel.com,,,,,,,,"19/Jan/18 5:04 AM;dan.middleton@intel.com;Fix in  [https://github.com/hyperledger/sawtooth-core/pull/1349] 
commit 26c6eee904697b0ddf1dfaca5bfd15578148de15 by [~ibansalankit];;;",,,,,,,,,,,,,,,,,,,,,,
Implement Client Builder for Go SDK,STL-834,22934,Improvement,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,drozd,agunde,agunde,30/Oct/17 11:21 PM,28/Nov/17 6:13 AM,28/Oct/23 3:34 AM,28/Nov/17 6:13 AM,,,,,,,0,APIstability,,,,,,agunde,mfford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzxtlz:",,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,agunde,mfford,,,,,,,"28/Nov/17 6:13 AM;mfford;No longer needed per Nick Drozd.;;;",,,,,,,,,,,,,,,,,,,,,,
Implement Signer for Go SDK,STL-835,22935,Improvement,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,drozd,agunde,agunde,30/Oct/17 11:22 PM,21/Nov/17 2:04 AM,28/Oct/23 3:34 AM,21/Nov/17 2:04 AM,,,,,,,0,,,,,,,agunde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STL-685,,,,,,,,,,"1|hzyhlr:",,,,,,Sprint 45,,,,,,,,,,,3.0,,,,,,,,,,,,agunde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Document the event subsystem for the 1.0 Release,STL-836,22946,Task,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,High,Done,achenette,achenette,achenette,31/Oct/17 3:53 AM,28/Nov/17 1:14 AM,28/Oct/23 3:34 AM,23/Nov/17 2:06 AM,,,,,,,0,,,,,"Source information: 
 * Sawtooth documentation: ""Events and Transaction Receipts"" (Architecture guide) 
[https://sawtooth.hyperledger.org/docs/core/nightly/master/architecture/events_and_transactions_receipts.html] 
(Based on the design doc at [https://docs.google.com/document/d/1RyCo-T912_bfcDVz7Eg9ZX6HG2rtOL_IvLidh0VvOZs/] ) 
  
 * Demo: [https://github.com/aludvik/sawtooth-core/tree/events_demo/events_demo] 

 ",,achenette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STL-689,,,,,,,,,,"1|hzylqf:",,,,,,Sprint 45,,,,,,,,,,,3.0,,,,,,,,,,,,achenette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ensure comprehensive doc updates for 1.0 Release,STL-837,22947,Improvement,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,achenette,achenette,achenette,31/Oct/17 4:04 AM,27/Nov/17 2:30 PM,28/Oct/23 3:34 AM,27/Nov/17 2:30 PM,,,,,,,0,,,,," 

 ",,achenette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzyltr:",,,,,,Sprint 45,,,,,,,,,,,5.0,,,,,,,,,,,,achenette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Improve usage text for sawtooth CLIs,STL-838,22948,Improvement,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,High,Done,achenette,achenette,achenette,31/Oct/17 4:26 AM,17/Nov/17 1:21 AM,28/Oct/23 3:34 AM,17/Nov/17 1:21 AM,,,,,,,0,,,,,"Improve the usage text for these CLIs:
 * identity-tp
 * intkey TPs
 * poet-validator-registry-tp
 * settings-tp
 * xo TPs

 * poet
 * xo

 * sawtooth admin
 * sawtooth \{block,batch,transaction,state}
 * sawtooth config
 * sawtooth identity
 * sawtooth keygen
 * sawtooth-rest-api
 * sawtooth-validator

 ",,achenette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STL-689,,,,,,,,,,"1|hzyltz:",,,,,,Sprint 45,,,,,,,,,,,3.0,,,,,,,,,,,,achenette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Update OpenStack Bandit script,STL-839,23705,Task,Backlog,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,,Tom Barnes,Tom Barnes,Tom Barnes,02/Nov/17 6:57 AM,21/May/19 11:33 PM,28/Oct/23 3:34 AM,,Continuous Integration,,,,,,0,Needs-Review,,,,"Update OpenStack Bandit script to...

a) remove ""core"" folder

b) add families/identity folder

Script can be found here:

[https://github.com/hyperledger/sawtooth-core/blob/master/bin/run_bandit#L58]

 ",,Tom Barnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzwz73:",,,,,,Sprint 45,,,,,,,,,,,,,,,,,,,,,,,Tom Barnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clarify approval_threshold and add default in Setting Transaction Family Spec,STL-841,23803,Bug,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,achenette,agunde,agunde,04/Nov/17 5:16 AM,17/Nov/17 1:24 AM,28/Oct/23 3:34 AM,17/Nov/17 1:24 AM,,,,,,,0,,,,,"From Dan:

doc nits... in settings spec. approval_threshold is defined as a percentage of keys. At the end it is defined more or less as 1 to len(authorized_keys). I don't see a default listed. If I'm misreading no action. Otherwise can you create a doc bug to make those ~2 updates?

 

The Default is 1",,agunde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzyjdb:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,agunde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Update SDK TP docstrings,STL-842,23805,Improvement,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,drozd,drozd,drozd,04/Nov/17 6:52 AM,14/Nov/17 1:41 AM,28/Oct/23 3:34 AM,14/Nov/17 1:41 AM,,,,,,,0,,,,,"Update the docstrings for all public functions used for making transaction processors (e.g. context.set_state) and make them consistent across Python, Go, and Javascript.",,drozd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STL-689,,,,,,,,,,"1|hzyl9r:",,,,,,Sprint 45,,,,,,,,,,,1.0,,,,,,,,,,,,drozd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Update SDK Client docstrings,STL-843,23806,Improvement,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,drozd,drozd,drozd,04/Nov/17 6:56 AM,01/Feb/18 11:22 PM,28/Oct/23 3:34 AM,01/Feb/18 11:22 PM,,,,,,,0,APIdoc,,,,"Update docstrings to all public functions for Python, Go, and Javascript client SDKs. Make these as consistent as possible.",,drozd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzxtm7:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,drozd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Document configuration files,STL-844,23807,Improvement,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,achenette,drozd,drozd,04/Nov/17 7:02 AM,14/Nov/17 4:44 AM,28/Oct/23 3:34 AM,14/Nov/17 4:44 AM,,,,,,,0,,,,,"Document config files for validator, REST API, and SGX. These will be added to the sys admin guide (and may resemble [https://sawtooth.hyperledger.org/docs/core/releases/latest/sysadmin_guide/log_configuration.html|https://sawtooth.hyperledger.org/docs/core/releases/latest/sysadmin_guide/log_configuration.html).]). There are several example config files in the repo:
 * sawtooth-core/validator/packaging/validator.toml.example
 * /sawtooth-core/consensus/poet/sgx/packaging/poet_enclave_sgx.toml.example
 * /sawtooth-core/rest_api/packaging/rest_api.toml.example",,achenette,drozd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STL-689,,,,,,,,,,"1|hzymc7:",,,,,,Sprint 45,,,,,,,,,,,3.0,,,,,,,,,,,,achenette,drozd,,,,,,,"08/Nov/17 8:18 AM;achenette;Per Andi, we should also document the path config file:
 * sawtooth-core/validator/packaging/path.toml.example

Information is in the file's comments and in the current FAQ chapter: https://github.com/hyperledger/sawtooth-core/blob/master/docs/source/faq.rst;;;",,,,,,,,,,,,,,,,,,,,,,
/batch_status API hangs when id is an empty string,STL-845,23824,Bug,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,delventhalz,dhuseby,dhuseby,07/Nov/17 8:20 AM,29/Nov/17 2:04 AM,28/Oct/23 3:34 AM,29/Nov/17 2:04 AM,REST API,,,,,,0,Security,,,,"Reported by Graham from Nettitude:

As part of a security assessment of Sawtooth, Nettitude has been fuzzing the REST API, and has found a class of queries which can cause the connection to hang.

This is undesirable from a security perspective, because it can be utilised increase the potency of a denial-of-service attack: whilst the connection remains open, it consumes resources on the server. 

The endpoint in question is “/batch_status”
 * If this is called with no id parameter, or an empty id parameter, then it returns immediately with in error message (code 66).
 * If it is supplied with one or more invalid but non-empty batch ids, then these are correctly reported as ‘invalid transactions’.
 * However, if it is presented with the empty string as a batch id, the request hangs until it times out after five minutes.

The simplest way to reproduce this effect is with a URL of the form:

[http://rest-api:8080/batch_status?id]=,

however a comma before or after a list of valid batch IDs will have a similar effect.

The root cause appears to be incomplete validation of the request by the REST API before it is passed onto the validator.

Beyond this specific issue, there does appear to be a lost opportunity here to perform more thorough validation within the REST API before data is passed on to the 0MQ interface. I can appreciate that there’s a desire to respect the DRY principle here, and I’m not advocating large-scale duplication of code from the validator to the REST API. However, there would be value in (for example) checking that arguments which are to be passed onwards as block, batch or transaction IDs do in fact consist of the appropriate number of hex digits.",,dan.middleton@intel.com,dhuseby,Tom Barnes,,,,,,,,,,,Security issue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STL-897,,,,,,,,,,"1|hzyo07:",,,,,,Sprint 46,,,,,,,,,,,2.0,,,,,,,,,,,,dan.middleton@intel.com,dhuseby,Tom Barnes,,,,,,"18/Nov/17 2:53 AM;Tom Barnes;Additional comments from Graham (11/17/2017):

Further to the report below, some further classes of query which can cause a connection to the REST API to hang:
 * Queries to /receipts, with a list of two or more IDs, one or more of which are empty (essentially the same behaviour as previously reported for /batch_status).
 * Some types of query to /receipts containing NUL characters. This has not been fully characterised, but I now have 4 examples (including one where the zeros are in the endpoint path rather than the query string).

All of this would be covered by the argument validation recommended previously, however this does highlight the need for validation across the API as a whole rather than focussing on known conditions affecting individual endpoints, and for NUL characters to be handled appropriately. (Python should generally have no difficulty handling strings containing NULs, however I can imagine problems arising during serialisation/deserialization, and/or if modules are imported which have been implemented in C.);;;","21/Nov/17 4:15 AM;dhuseby;Hi Tom,

Isn't Shawn taking these bugs?  Will you assign them to him so that he can track his progress here?

Thanks!;;;",,,,,,,,,,,,,,,,,,,,,
Add events and receipts to JS SDK,STL-846,23866,Improvement,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,pschwarz,drozd,drozd,09/Nov/17 6:44 AM,23/Nov/17 5:32 AM,28/Oct/23 3:34 AM,23/Nov/17 5:32 AM,,,,,,,0,,,,,,,drozd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STL-685,,,,,,,,,,"1|hzyhlj:",,,,,,Sprint 45,,,,,,,,,,,3.0,,,,,,,,,,,,drozd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remove knowledge of chains and forks from Block Validator,STL-847,23881,Improvement,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,adamludvik,adamludvik,adamludvik,10/Nov/17 12:30 AM,23/Dec/17 2:02 AM,28/Oct/23 3:34 AM,23/Dec/17 2:02 AM,,,,,,,0,,,,,"Current, the block validator does some work that ought to be handle by the chain controller, such as determining which chain to accept. This should be moved to the chain controller.",,adamludvik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STL-814,,,,,,,,,,"1|hzymtb:",,,,,,Sprint 45,Sprint 46,,,,,,,,,,2.0,,,,,,,,,,,,adamludvik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Make the BlockValidator and ChainController less tightly coupled,STL-848,23884,Improvement,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,adamludvik,adamludvik,adamludvik,10/Nov/17 12:37 AM,23/Dec/17 2:02 AM,28/Oct/23 3:34 AM,23/Dec/17 2:02 AM,,,,,,,0,,,,,"Even though the BlockValidator will be separate from the ChainController, they are still tightly coupled because:
1. The ChainController manages blocks in process and blocks pending
2. The ChainController acts as an intermediary between the completer and BlockValidator
3. The ChainController creates the consensus module used by the BlockValidator for validation when the BlockValidator could do this
4. The BlockValidator keeps track of the chain head and validation results contain the chain head instead of the previous block.",,adamludvik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STL-814,,,,,,,,,,"1|hzymtr:",,,,,,Sprint 45,Sprint 46,,,,,,,,,,3.0,,,,,,,,,,,,adamludvik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Closing state delta websocket renders the REST API unusable,STL-849,23886,Bug,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,pschwarz,GhadiShayban,GhadiShayban,10/Nov/17 12:49 AM,29/Nov/17 7:21 AM,28/Oct/23 3:34 AM,29/Nov/17 7:21 AM,,,,,,,0,,,,,"When a websocket connection is opened, then subsequently closed, the REST API becomes unresponsive to subsequent HTTP state GETs.

When turning up the logging, it is apparent that the REST API has sent a protobuf request to the validator, but is stalled on receiving a response.

 

The attached logs of REST API + Validator show this sequence:

GET some state (Successful)

open a websocket (Successful until...)

close websocket

Then GET state on the REST API (sends the request to validator, stalls on response)",master as of last Friday (Nov 17th),GhadiShayban,jaredcorduan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"28/Nov/17 7:38 AM;GhadiShayban;aiosocket.py;https://jira.hyperledger.org/secure/attachment/13424/aiosocket.py","10/Nov/17 12:52 AM;GhadiShayban;sawtooth_websocket_logs;https://jira.hyperledger.org/secure/attachment/13319/sawtooth_websocket_logs","28/Nov/17 7:38 AM;GhadiShayban;socktest.py;https://jira.hyperledger.org/secure/attachment/13425/socktest.py",,,,,,,,,,,,,,,,,,,,,,,,"1|hzymu7:",,,,,,Sprint 46,,,,,,,,,,,,,,,,,,,,,,,GhadiShayban,jaredcorduan,,,,,,,"10/Nov/17 6:01 AM;GhadiShayban;We have seen issues under other scenarios where the REST API cannot communicate with the validator, despite not receiving a disconnect.  However, this specific path through web sockets was reliable to reproduce.;;;","21/Nov/17 1:21 AM;jaredcorduan;We were able to recreate the exact same issue on master (master as of last Friday, Nov 17).;;;","28/Nov/17 7:39 AM;GhadiShayban;aiosocket.py does not hang the rest API upon disconnect. This also throws an exception around here but the except never displays: [https://github.com/hyperledger/sawtooth-core/blob/master/rest_api/sawtooth_rest_api/state_delta_subscription_handler.py#L105-L112
]

socktest does hang the API.  pip install websocket-client for this one, the other one is just aiohttp

Hanging meaning inability to process subsequent GETs;;;","29/Nov/17 5:06 AM;GhadiShayban;[https://github.com/hyperledger/sawtooth-core/pull/1185] clears up the bug for us. Thank you Peter.;;;",,,,,,,,,,,,,,,,,,,
Add identity.toml configuration file,STL-850,23892,New Feature,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,agunde,agunde,agunde,10/Nov/17 5:00 AM,16/Nov/17 4:59 AM,28/Oct/23 3:34 AM,16/Nov/17 4:59 AM,,,,,,,0,,,,,,,agunde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STL-685,,,,,,,,,,"1|hzykpr:",,,,,,Sprint 45,,,,,,,,,,,1.0,,,,,,,,,,,,agunde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add cli configuration file,STL-851,23893,New Feature,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,drozd,agunde,agunde,10/Nov/17 5:01 AM,21/Nov/17 2:37 AM,28/Oct/23 3:34 AM,21/Nov/17 2:37 AM,,,,,,,0,,,,,,,agunde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STL-685,,,,,,,,,,"1|hzylb3:",,,,,,Sprint 45,,,,,,,,,,,2.0,,,,,,,,,,,,agunde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rename `poet genesis` to `poet registration create`,STL-852,23894,New Feature,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,drozd,pschwarz,pschwarz,10/Nov/17 5:16 AM,28/Nov/17 5:59 AM,28/Oct/23 3:34 AM,28/Nov/17 5:59 AM,PoET,sawtooth CLI,,,,,0,APIstability,,,,,,pschwarz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzwz5r:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,pschwarz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Set-up 1.0 Debian Repositries,STL-853,23895,Improvement,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,ryanbeck,mfford,mfford,10/Nov/17 5:31 AM,15/Nov/17 8:44 AM,28/Oct/23 3:34 AM,15/Nov/17 8:44 AM,,,,,,,0,,,,,Task for Release sawtooth-core v1.0.0,,mfford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STL-683,,,,,,,,,,"1|hzym67:",,,,,,Sprint 45,,,,,,,,,,,1.0,,,,,,,,,,,,mfford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Publish 1.0 Release Artifacts,STL-854,23896,Improvement,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,mfford,mfford,mfford,10/Nov/17 5:32 AM,21/May/19 3:38 AM,28/Oct/23 3:34 AM,21/May/19 3:38 AM,,,,,,,0,ReleasePackage,,,,"Task for Release sawtooth-core v1.0.0
",,mfford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzym6f:",,,,,,Sprint 45,Sprint 46,,,,,,,,,,1.0,,,,,,,,,,,,mfford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
