Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Due Date,Votes,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers,Watchers,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Inward issue link (Issue split),Outward issue link (Issue split),Inward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Attachment,Custom field (Business Value),Custom field (Commit Levels),Custom field (Current Status),Custom field (Design),Custom field (Design Status),Custom field (Documentation Impact),Custom field (Documentation Status),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Executed),Custom field (Found in Commit),Custom field (Function Test Status),Custom field (Must Fix),Custom field (Original story points),Custom field (Parent Link),Custom field (Rank),Custom field (Release Note),Custom field (Release Note Required),Custom field (Root Cause Analysis),Custom field (SDK Impact),Custom field (Sample/Tutorial),Custom field (Steps to Reproduce),Custom field (Story Points),Custom field (System Test Impact),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Team),Custom field (Test Plan),Custom field (Test Result),Custom field (Test Result Details),Custom field (Test Type),Custom field (Triaged),Custom field (Usage),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Workaround),Custom field (gitCommitsReferenced),Comment,Comment,Comment,Comment
Flesh out Decision Maker documentation stories for Grid,GRID-72,40396,,New Feature,Complete,GRID,Grid,software,amundson,,,Medium,Done,mattp,agunde,agunde,05/Jun/19 12:26 AM,12/Jul/19 12:05 AM,28/Oct/23 2:25 AM,12/Jul/19 12:05 AM,,0,,,Fill out the provided template in Grid Documentation Planning document for Decisions Makers.,,agunde,mattp,,,,,,,,,,,GRID-66,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,GRID-63,,,No,,Unset,No,,,"1|i00q83:9",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),agunde,mattp,,,,,"21/Jun/19 1:46 AM;mattp;As I'm trying to use the documentation guide, I'm struggling with understanding the guide in the context of the decision maker role.  Basically I'm looking at this subset of info from [the guide|https://docs.google.com/document/d/11rgfuRu7c-tzcsSzsVQAoCgWBGrt6jEWzO-b_txi_hs/edit?ts=5cf68be6#heading=h.j8j13kuztut4[]|https://docs.google.com/document/d/11rgfuRu7c-tzcsSzsVQAoCgWBGrt6jEWzO-b_txi_hs/edit?ts=5cf68be6#heading=h.j8j13kuztut4] as it relates to the decision maker role. 

 

The basic subset of info I'm trying to follow from the guide:

 

Entry Template

The entries for the following role sections should follow one of the following templates:

 

A *_decision maker_* must understand *_the intent and scope of Hyperledger Grid._*

A _*decision maker*_ must be able to follow a procedure to do *_<task to be documented>_* 

A *_decision maker_* must understand how to *_<do task>_* using the *_<Grid component>._*

A *_decision maker_* must understand how to *_<do task>._*

A _*decision maker*_ must be able to troubleshoot problems with to *_<task to be documented>_*.

 

Where *_<role>_* is a member of the audience the documentation is for.

 

For example:

 

A *_decision maker_* must understand *_Grid at a very high level._*

 

The entry should be short and specific. If a procedure is large, split it into subtasks. Use this format:

 
 * A *_decision maker_* must understand how to *<do task>* using *<Grid component>*_._

            *<subtasks>*
 * A *_decision maker_* must understand *_<information that must be documented>_*.
 * A _*decision maker*_ must be able to follow a procedure to *_<task to be documented>_*.
 * A _*decision maker*_ must be able to troubleshoot problems with *_<task to be documented>_*.

 
h2. Decision maker (“business stakeholders”)

This user decides whether to use Grid for a POC or production network and directs a team of project leaders (architects), sysadmins, network/smart contract admins, and application developers.

Tasks:
 * Understand Grid at a very high level (with beautiful diagrams)
 * Decide if their team should try Grid
 * Determine the general resources for a POC (people)

 

 

If the decision maker is trying to decide to try Grid (as mentioned above), you don't actually decide to try Grid given that Grid is positioned as a framework and not an application.  However, a decision maker may decide to use Grid Product or one of the other Grid applications being built on top of the framework.  In addition, a decision maker may also decide to develop an application on top of Grid or while using the Grid framework, but that would be dependent on the context of their use case, applicability to Grid, and state of development of other functions, components, and primitives within the Grid framework.   For this story specifically, it might be best to lay out the differences here between the framework and applications being built on top, and rationalize the difference between them, and curate a 1 page summary (providing visual and context) of the value prop for both layers (framework and application).  Thoughts here?  Looking for feedback on my approach and if I'm heading astray from the spirit of this story.  [~agunde] [~amundson];;;","02/Jul/19 6:07 AM;mattp;I think we should create stories for the intended platform where the documentation would reside.  For example, I think we should have separate stories for what documentation would be on the project webpage, grid developer documentation, and handout or summary info for marketing purposes.  I've created a bunch of offline documentation but struggle where to put it for feedback.  I can dump it here, but think it's more applicable for feedback and iteration in the context of the location in which it would reside.;;;","04/Jul/19 7:20 AM;mattp;Hey [~agunde] - I updated the documentation plan document and included my initial thoughts as previously discussed. Let me know what feedback you or others have.  Thanks!;;;",
Flesh out End-User/Network Admin documentation stories for Grid,GRID-73,40397,,New Feature,Complete,GRID,Grid,software,amundson,,,Medium,Done,ryanbeck,agunde,agunde,05/Jun/19 12:31 AM,29/Jun/19 1:00 AM,28/Oct/23 2:25 AM,29/Jun/19 1:00 AM,,0,,,"Fill out the provided template in Grid Documentation Planning document for ""End Users""/ ""Network Admins""/ ""Shared State Admins"" (still working on what to call this role)",,agunde,,,,,,,,,,,,GRID-66,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,GRID-63,,,No,,Unset,No,,,"1|i00q83:4",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),agunde,,,,,,,,,
Add Agent metadata in TnT clients,GRID-74,40400,,Improvement,Backlog,GRID,Grid,software,amundson,,,Medium,,,newhall,newhall,05/Jun/19 12:57 AM,28/Aug/19 1:29 AM,28/Oct/23 2:25 AM,,,0,help-wanted,,"Add functionality to submit and display useful metadata to T&T Agents.

This could include:
 * name
 * location",,newhall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i00qik:",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),newhall,,,,,,,,,
Update FishNet T&T UI to be grid compatible,GRID-75,40403,,Improvement,Complete,GRID,Grid,software,amundson,,,Medium,Done,newhall,dplumb,dplumb,05/Jun/19 3:12 AM,03/Jul/19 5:56 AM,28/Oct/23 2:25 AM,03/Jul/19 5:56 AM,,0,,,"After the effort to update the Asset client to Grid, a similar set of changes can be applied to FishNet to get it working with Grid as well.",,dplumb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,GRID-10,,,No,,Unset,No,,,"1|i00qj0:",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),dplumb,,,,,,,,,
Gather & Recommend Top Level Industry Attributes for Location,GRID-76,40412,,Improvement,Backlog,GRID,Grid,software,amundson,,,Medium,,mfford,mfford,mfford,05/Jun/19 6:28 AM,17/Jul/19 5:53 AM,28/Oct/23 2:25 AM,,,0,,,,,mfford,,,,,,,,,,,,,GRID-65,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,GRID-61,,,No,,Unset,No,,,"1|hzwu9b:5z4",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),mfford,,,,,,,,,
Provide doc consistency guidelines,GRID-77,40414,,Improvement,Complete,GRID,Grid,software,amundson,,,High,Done,achenette,achenette,achenette,05/Jun/19 7:31 AM,14/Jun/19 6:04 AM,28/Oct/23 2:25 AM,14/Jun/19 6:04 AM,,0,Documentation,,"Help the Grid documentation planning effort with a quick guide (with links): ""Top N best practices for consistent Grid documentation.""

 ",,achenette,,,,14400,14400,,0%,14400,14400,,,,,,,,,,,,GRID-66,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,GRID-63,,,No,,Unset,No,,,"1|i00ql8:",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),achenette,,,,,,,,,
Update Grid REST API to use Actix 1.0,GRID-78,40446,,Improvement,Backlog,GRID,Grid,software,amundson,,,Medium,,,eloafran,eloafran,07/Jun/19 12:38 AM,30/Jun/19 10:43 PM,28/Oct/23 2:25 AM,,,0,help-wanted,,"The Grid REST API uses the web framework Actix version 0.7. 
Actix version 1.0 has been recently released. The Grid REST API should be updated to work with the 1.0 version.",,eloafran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i00qrv:t",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),eloafran,,,,,,,,,
Fix T&T UI Get Started errors and handling,GRID-79,40533,,Bug,Complete,GRID,Grid,software,amundson,,,Medium,Done,dplumb,dplumb,dplumb,12/Jun/19 5:40 AM,19/Jun/19 3:44 AM,28/Oct/23 2:25 AM,19/Jun/19 3:44 AM,,0,,,"Currently, errors from Get Started form submission are logged to the console and not displayed. They should be alerted out instead.",,dplumb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,GRID-10,,,No,,Unset,No,,,"1|i00r84:",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),dplumb,,,,,,,,,
Fix Firefox forms in T&T UI,GRID-80,40569,,Bug,Complete,GRID,Grid,software,amundson,,,Medium,Done,newhall,dplumb,dplumb,14/Jun/19 12:50 AM,25/Jun/19 11:35 PM,28/Oct/23 2:25 AM,25/Jun/19 11:35 PM,,0,help-wanted,,The forms on the T&T UI are not working properly on Firefox. For some reason the form data is getting put in the URL instead of submitted.,,dplumb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,GRID-10,,,No,,Unset,No,,,"1|i00q7w:",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),dplumb,,,,,,,,,
Fix lint errors,GRID-81,40573,,Bug,Complete,GRID,Grid,software,amundson,,,Medium,Done,dplumb,dplumb,dplumb,14/Jun/19 1:08 AM,10/Jul/19 3:43 AM,28/Oct/23 2:25 AM,10/Jul/19 3:43 AM,,0,,,The T&T UIs should be free of ESLint errors and adhere to the Javascript Standard style: [https://github.com/standard/eslint-config-standard],,dplumb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,GRID-10,,,No,,Unset,No,,,"1|i00res:",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),dplumb,,,,,,,,,
Deploy/View Smart Contract UI Mockups,GRID-82,40642,,New Feature,Backlog,GRID,Grid,software,amundson,,,Medium,,newhall,agunde,agunde,18/Jun/19 3:42 AM,18/Jun/19 3:43 AM,28/Oct/23 2:25 AM,,,0,ui,,The mockups should show which contracts are currently deployed and be able to deploy new contracts.,,agunde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i00rqs:",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),agunde,,,,,,,,,
Add Error logs in Grid Managment UI by txn,GRID-83,40643,,New Feature,Backlog,GRID,Grid,software,amundson,,,Medium,,newhall,agunde,agunde,18/Jun/19 3:45 AM,18/Jun/19 3:45 AM,28/Oct/23 2:25 AM,,,0,,,"Once there is a Grid Management UI, error logs from a failed transaction should be displayed on the screen.",,agunde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i00rr0:",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),agunde,,,,,,,,,
Flesh out Profile page on Track and Trace UIs,GRID-84,40645,,Improvement,Backlog,GRID,Grid,software,amundson,,,Medium,,,dplumb,dplumb,18/Jun/19 5:30 AM,18/Jun/19 5:30 AM,28/Oct/23 2:25 AM,,,0,help-wanted,,Currently the track and trace UIs (AssetTrack and FishNet) only show the Pike agent information on the profile. This page should also pull in the User's information from the tnt server to show email and allow password updates.,,dplumb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i00rrg:",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),dplumb,,,,,,,,,
Fix get started resource creation order in Track and Trace UIs,GRID-85,40647,,Bug,Backlog,GRID,Grid,software,amundson,,,Medium,,,dplumb,dplumb,18/Jun/19 5:39 AM,01/Oct/19 5:20 AM,28/Oct/23 2:25 AM,,,0,help-wanted,,"Currently, the Get Started page in the Track and Trace UIs has a bug which allows users to be created before the agent transaction is committed. This means that if the transaction fails, a user will exist in the system but it will not be associated with an agent.

The logic should be fixed so that the user is only created if the create agent transaction is valid. It also needs to handle the case where the agent info is valid but the user information (such as the supplied email) is invalid.",,dplumb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,GRID-10,,,No,,Unset,No,,,"1|i00rrw:",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),dplumb,,,,,,,,,
Write Gridd key management RFC,GRID-86,40658,,New Feature,Backlog,GRID,Grid,software,amundson,,,Medium,,,dplumb,dplumb,19/Jun/19 12:02 AM,19/Jun/19 12:02 AM,28/Oct/23 2:25 AM,,,0,,,"Write an RFC describing a process for user authentication and key management.

This process will allow you to create a user account which stores an encrypted ""wallet"" of private keys, as well as your username/email and hashed password. You should be able to send your auth credentials to Gridd to retrieve your wallet.",,dplumb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i00ru4:",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),dplumb,,,,,,,,,
Check if migrations were run in Daemon startup ,GRID-87,40695,,Improvement,Backlog,GRID,Grid,software,amundson,,,Medium,,,eloafran,eloafran,20/Jun/19 1:49 AM,20/Jun/19 1:55 AM,28/Oct/23 2:25 AM,,,0,,,"The database migrations should be run via the Grid CLI before the Grid Daemon (gridd) starts up.
The gridd should check if the migrations were run when its starts up, log an error and exit. The error message should include instructions to the user to run the migrations via the CLI.  

This task will be easy to complete if/when this PR in Diesel is merged:
[https://github.com/diesel-rs/diesel/pull/1846]

Otherwise this task has to be completed manually.  An example of how that might be accomplished can be found here:
[https://github.com/big-neon/bn-api/pull/941/files]",,eloafran,,,,,,,,,,,,,,,,,,,GRID-50,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i00s1o:",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),eloafran,,,,,,,,,
Review Grid doc PRs and draft docs,GRID-88,40704,,Improvement,Backlog,GRID,Grid,software,amundson,,,Medium,,achenette,achenette,achenette,20/Jun/19 3:15 AM,14/Aug/19 5:01 AM,28/Oct/23 2:25 AM,,,0,Documentation,,,,achenette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,GRID-63,,,No,,Unset,No,,,"1|i00wy0:",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),achenette,,,,,,,,,
Implement Block ID queries in Grid REST API,GRID-89,40730,,New Feature,Backlog,GRID,Grid,software,amundson,,,Medium,,,dplumb,dplumb,21/Jun/19 4:14 AM,21/Jun/19 4:14 AM,28/Oct/23 2:25 AM,,,0,,,"Each GET route in the REST API should include a block ID query parameter.

With this functionality, clients can request the data that is true at a certain block height, rather than only getting data for the most recently committed block. This can be implemented as a filter where:
{{start_block_num <= request_block_height < end_block_num}}

Note that the query param should be a Block ID rather than a block num/block height, since a fork could cause a certain block num to refer to a different version of state than what was requested.

The default behavior (no Block ID param supplied) should still get the data for the most recent block.",,dplumb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i00s8c:",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),dplumb,,,,,,,,,
Implement paging in Grid REST API,GRID-90,40731,,New Feature,Backlog,GRID,Grid,software,amundson,,,Medium,,,dplumb,dplumb,21/Jun/19 4:34 AM,21/Jun/19 4:34 AM,28/Oct/23 2:25 AM,,,0,,,"Each list route in the REST API should include paging parameters, and responses should include a paging object to easily fetch the next page.

For example, the query for records could be:

`/record?limit=25&offset=50`",,dplumb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i00s8k:",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),dplumb,,,,,,,,,
Grid Daemon event processor enters repeated values for TnT reported values,GRID-91,40807,,Bug,Backlog,GRID,Grid,software,amundson,,,Medium,,,eloafran,eloafran,27/Jun/19 12:47 AM,01/Oct/19 5:20 AM,28/Oct/23 2:25 AM,,,0,help-wanted,,"Every time the Grid Daemon receives an event to update a property value for an existing record, it adds to the database not only the updated value, but all the previous values that were stored in the same PropertyPage.

The Grid Deamon should be changed to add only the updated value.  

Location of the bug: 
[https://github.com/hyperledger/grid/blob/49dcd660dbf44f34bd513ae5d8dc652845520f2a/daemon/src/event/block.rs#L290]",,eloafran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,GRID-10,,,No,,Unset,No,,,"1|i00sno:",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),eloafran,,,,,,,,,
Design Table of Contents for Grid Documentation,GRID-92,40850,,New Feature,In Review,GRID,Grid,software,amundson,,,Medium,,achenette,agunde,agunde,01/Jul/19 10:53 PM,31/Jul/19 12:05 AM,28/Oct/23 2:25 AM,,,0,,,Review the Grid Documentation Planning Document and come up with the table of contents. This will be used to help create future grid documentation stories.,,agunde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,GRID-63,,,No,,Unset,No,,,"1|i00tv9:",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),agunde,,,,,,,,,
Remove Rust Nightly from Smart Contract dockerfiles. ,GRID-93,41113,,Improvement,Complete,GRID,Grid,software,amundson,,,Medium,Done,ryanbeck,agunde,agunde,13/Jul/19 12:36 AM,19/Jul/19 10:31 PM,28/Oct/23 2:25 AM,19/Jul/19 10:31 PM,,0,,,We no longer need rust nightly to compile into wasm. This allows us to replace nightly with stable.,,agunde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i00ljq:i",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),agunde,,,,,,,,,
Grid Catalog,GRID-94,41210,,Epic,Backlog,GRID,Grid,software,amundson,,,Medium,,adeeb.ahmed,adeeb.ahmed,adeeb.ahmed,16/Jul/19 12:21 AM,25/Sep/19 5:08 AM,28/Oct/23 2:25 AM,,,0,,,A way to represent an assortment of products in grid,,adeeb.ahmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,ghx-label-2,,Grid Catalog,To Do,No,,Unset,No,,,"1|i00cwy:",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),adeeb.ahmed,,,,,,,,,
Create Grid Catalog RFC,GRID-95,41211,,Task,In Progress,GRID,Grid,software,amundson,,,Medium,,adeeb.ahmed,adeeb.ahmed,adeeb.ahmed,16/Jul/19 12:23 AM,26/Sep/19 11:16 PM,28/Oct/23 2:25 AM,,,0,Discuss,,Create RFC that discusses implementation for a way to represent and share an assortment of products with other members in a grid network.,,adeeb.ahmed,mattp,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,GRID-94,,,No,,Unset,No,,,"1|hzwu9b:5z1",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),adeeb.ahmed,mattp,,,,,"06/Aug/19 4:44 AM;adeeb.ahmed;[https://github.com/hyperledger/grid-rfcs/pull/14];;;","28/Aug/19 1:27 AM;mattp;Design discussions going well with weekly GS1, Bitwise, Cargill, and Target attendance.  Incorporating feedback from those discussions in the Grid Catalog RFC.;;;",,
Write Grid Product smart contract unit tests,GRID-96,41337,,Task,Complete,GRID,Grid,software,amundson,,,Low,Done,pa3ng,pa3ng,pa3ng,20/Jul/19 6:09 AM,06/Aug/19 4:42 AM,28/Oct/23 2:25 AM,06/Aug/19 4:42 AM,,0,,,Write unit tests for refactored product smart contract,,pa3ng,,,,,,,,,,,,GRID-55,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,GRID-19,,,No,,Unset,No,,,"1|hzwu9b:5z2",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),pa3ng,,,,,,,,,
"Rename Grid Product ""product_type"" field",GRID-97,41620,,Task,In Progress,GRID,Grid,software,amundson,,,Low,,silasdavis,pa3ng,pa3ng,03/Aug/19 4:58 AM,09/Oct/19 3:59 AM,28/Oct/23 2:25 AM,,,0,good-first-issue,help-wanted,"Rename the _*product_type*_ field to *_product_namespace_*

**Essentially, ""type"" is an overloaded term, so we opted for ""namespace"" since it would nicely align with Grid's address namespace-prefixing for different kinds of products.

For more detail, read the [RocketChat discussion|https://chat.hyperledger.org/channel/grid?msg=uaeKLw7rFoB87ekdi]",,mattp,pa3ng,,,,,,,,,,,,,,,,,,,,,GRID-98,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,GRID-19,,,No,,Unset,No,,,"1|i011og:",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),mattp,pa3ng,,,,,"09/Oct/19 3:59 AM;mattp;[https://github.com/hyperledger/grid/pull/125/];;;",,,
"Rename Grid Product ""UNSET_TYPE"" enum",GRID-98,41621,,Task,Backlog,GRID,Grid,software,amundson,,,Low,,,pa3ng,pa3ng,03/Aug/19 5:02 AM,21/Sep/19 12:43 AM,28/Oct/23 2:25 AM,,,0,good-first-issue,help-wanted,"Rename the *UNSET_TYPE* field to *UNSET_NAMESPACE*

**Essentially, ""type"" is an overloaded term, so we opted for ""namespace"" since it would nicely align with Grid's address namespace-prefixing for different kinds of product standards.

Read this related discussion in [RocketChat|https://chat.hyperledger.org/channel/grid?msg=uaeKLw7rFoB87ekdi]",,pa3ng,,,,,,,,,,,,,,,,,,,,,GRID-97,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,GRID-19,,,No,,Unset,No,,,"1|hzwu9b:5z39",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),pa3ng,,,,,,,,,
Grid ProductList cannot be empty,GRID-99,41622,,Bug,Complete,GRID,Grid,software,amundson,,,Lowest,Done,,pa3ng,pa3ng,03/Aug/19 5:12 AM,25/Sep/19 5:52 AM,28/Oct/23 2:25 AM,25/Sep/19 5:52 AM,,0,,,"Theoretically, we should be able to instantiate an empty ProductList. Currently, the compiler throws an error when it attempts to build an empty ProductList.",,agunde,pa3ng,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,GRID-19,,,No,,Unset,No,,,"1|hzwu9b:5z3",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),agunde,pa3ng,,,,,"21/Sep/19 12:41 AM;agunde;Was this closed by [https://github.com/hyperledger/grid/pull/120];;;","25/Sep/19 5:52 AM;agunde;Through offline discussion, it was decided there is not a business use case for creating an empty ProductList so we can close this issue;;;",,
Generate and publish Grid SDK reference doc,GRID-100,41775,,Improvement,Backlog,GRID,Grid,software,amundson,,,Medium,,,achenette,achenette,14/Aug/19 3:25 AM,14/Aug/19 3:26 AM,28/Oct/23 2:25 AM,,,0,documentation,help-wanted,"Make the autogenerated Rust SDK documentation available in the Grid doc, starting at this link: [https://grid.hyperledger.org/docs/grid/nightly/master/grid_sdk.html]

 

Follow the example of the Sawtooth SDK reference documentation that is available at [https://sawtooth.hyperledger.org/docs/core/nightly/master/sdk_rust.html]",,achenette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,GRID-63,,,No,,Unset,No,,,"1|i00wxf:",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),achenette,,,,,,,,,
Generate and publish Grid REST API reference doc,GRID-101,41776,,Improvement,Backlog,GRID,Grid,software,amundson,,,Medium,,,achenette,achenette,14/Aug/19 3:28 AM,14/Aug/19 3:28 AM,28/Oct/23 2:25 AM,,,0,Documentation,help-wanted,"Make the autogenerated Grid REST API documentation available in the Grid doc, starting at this link: https://grid.hyperledger.org/docs/grid/nightly/master/rest_api.html

 

Follow the example of the Sawtooth REST API reference documentation that is available at [https://sawtooth.hyperledger.org/docs/core/nightly/master/rest_api.html|https://sawtooth.hyperledger.org/docs/core/nightly/master/sdk_rust.html]",,achenette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,GRID-63,,,No,,Unset,No,,,"1|i00wxn:",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),achenette,,,,,,,,,
Generate and publish grid CLI reference doc,GRID-102,41777,,Improvement,Backlog,GRID,Grid,software,amundson,,,Medium,,,achenette,achenette,14/Aug/19 3:29 AM,14/Aug/19 3:29 AM,28/Oct/23 2:25 AM,,,0,documentation,help-wanted,"Make the autogenerated documentation for the `grid` CLI available in the Grid doc, starting at this link: https://grid.hyperledger.org/docs/grid/nightly/master/cli_references.html

 

Follow the example of the Sawtooth CLI documentation that is available at https://sawtooth.hyperledger.org/docs/core/nightly/master/cli.html",,achenette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,GRID-63,,,No,,Unset,No,,,"1|i00wxv:",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),achenette,,,,,,,,,
