Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Affects Version/s,Affects Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Due Date,Votes,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Inward issue link (Cloners),Outward issue link (Cloners),Inward issue link (Duplicate),Outward issue link (Duplicate),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Attachment,Attachment,Custom field (Business Value),Custom field (Commit Levels),Custom field (Current Status),Custom field (Design),Custom field (Design Status),Custom field (Documentation Impact),Custom field (Documentation Status),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Executed),Custom field (Found in Commit),Custom field (Function Test Status),Custom field (Must Fix),Custom field (Original story points),Custom field (Parent Link),Custom field (Rank),Custom field (Release Note),Custom field (Release Note Required),Custom field (Root Cause Analysis),Custom field (SDK Impact),Custom field (Sample/Tutorial),Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Custom field (Steps to Reproduce),Custom field (Story Points),Custom field (System Test Impact),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Team),Custom field (Test Plan),Custom field (Test Result),Custom field (Test Result Details),Custom field (Test Type),Custom field (Triaged),Custom field (Usage),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Workaround),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitCommitsReferenced),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
Remove embedded error from TransactionResponse object,FABG-593,28064,,Story,Closed,FABG,Fabric SDK Go,software,troyronda,,,Medium,Done,divyank,divyank,divyank,28/Feb/18 1:11 AM,21/Jul/18 4:17 AM,28/Oct/23 3:24 AM,28/Feb/18 3:09 AM,,,,,,,,0,,,,,divyank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unset,,,,,,,,,,,,"1|hzyz33:",,,,Unset,,,,,,,,,,,Unset,,,,,,,,,,,divyank,,,,,,,dependabot/go_modules/golang.org/x/crypto-0.1.0,dependabot/go_modules/test/performance/golang.org/x/net-0.7.0,dependabot/go_modules/golang.org/x/net-0.7.0,main,dependabot/go_modules/github.com/prometheus/client_golang-1.11.1,,,,,,,true,,,,,,,,,,,,
SDK Go - Refactor to interfaces,FABG-594,15466,,Story,Closed,FABG,Fabric SDK Go,software,troyronda,,,Medium,Done,,aleksandar.likic,aleksandar.likic,28/Mar/17 12:17 AM,21/Jul/18 4:17 AM,28/Oct/23 3:24 AM,27/Apr/17 3:36 AM,,,,,,,,0,,,Hide SDK implementation behind interfaces.,,aleksandar.likic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unset,,,,,,,,,,,,"1|hzxomv:",,,,Unset,,,,,,,,,,,Unset,,,,,,,,,,,aleksandar.likic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remove IsSecurityEnabled option,FABG-595,20736,,Story,Closed,FABG,Fabric SDK Go,software,troyronda,,,Medium,Done,biljana.lukovic,biljana.lukovic,biljana.lukovic,12/Sep/17 12:48 AM,21/Jul/18 4:16 AM,28/Oct/23 3:24 AM,12/Sep/17 2:20 AM,,,,,,,,0,,,This option is not in use any more,,biljana.lukovic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unset,,,,,,,,,,,,"1|hzyg0f:",,,,Unset,,,,,,,,,,,Unset,,,,,,,,,,,biljana.lukovic,,,,,,,dependabot/go_modules/golang.org/x/crypto-0.1.0,dependabot/go_modules/test/performance/golang.org/x/net-0.7.0,main,dependabot/go_modules/golang.org/x/net-0.7.0,dependabot/go_modules/github.com/prometheus/client_golang-1.11.1,,,,,,,true,,,,,,,,,,,,
Reduce imported Fabric code,FABG-596,21339,,Story,Closed,FABG,Fabric SDK Go,software,troyronda,,,Medium,Done,troyronda,troyronda,troyronda,06/Oct/17 2:14 PM,21/Jul/18 4:17 AM,28/Oct/23 3:24 AM,07/Oct/17 1:05 AM,,,,,,,,0,,,,,troyronda,,,,,,,,,,,,,,,,,,,,,,FABG-278,,,,,,,,,,,,,,,,,,,,,,Unset,,,,,,,,,,,,"1|hzyijb:",,,,Unset,,,,,,,,,,,Unset,,,,,,,,,,,troyronda,,,,,,,dependabot/go_modules/golang.org/x/crypto-0.1.0,dependabot/go_modules/test/performance/golang.org/x/net-0.7.0,main,dependabot/go_modules/golang.org/x/net-0.7.0,dependabot/go_modules/github.com/prometheus/client_golang-1.11.1,,,,,,,true,,,,,,,,,,,,
Add make target to generate channel artifacts,FABG-597,20901,,Story,Closed,FABG,Fabric SDK Go,software,troyronda,,,Medium,Done,divyank,divyank,divyank,19/Sep/17 10:44 PM,21/Jul/18 4:16 AM,28/Oct/23 3:24 AM,21/Sep/17 2:03 AM,,,,,,,,0,,,,,divyank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unset,,,,,,,,,,,,"1|hzygsf:",,,,Unset,,,,,,,,,,,Unset,,,,,,,,,,,divyank,,,,,,,dependabot/go_modules/golang.org/x/crypto-0.1.0,dependabot/go_modules/test/performance/golang.org/x/net-0.7.0,main,dependabot/go_modules/golang.org/x/net-0.7.0,dependabot/go_modules/github.com/prometheus/client_golang-1.11.1,,,,,,,true,,,,,,,,,,,,
logging: Docs and Examples,FABG-598,30066,,Story,Closed,FABG,Fabric SDK Go,software,troyronda,,,Medium,Done,,firas.qutishat,firas.qutishat,09/May/18 11:26 PM,21/Jul/18 4:16 AM,28/Oct/23 3:24 AM,24/May/18 11:29 PM,,,,,,,,0,,,,,firas.qutishat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unset,,,,,,,,,,,,"1|hzz9en:",,,,Unset,,,,,,,,,,,Unset,,,,,,,,,,,firas.qutishat,,,,,,,dependabot/go_modules/golang.org/x/crypto-0.1.0,dependabot/go_modules/test/performance/golang.org/x/net-0.7.0,main,dependabot/go_modules/golang.org/x/net-0.7.0,dependabot/go_modules/github.com/prometheus/client_golang-1.11.1,,,,,,,true,,,,,,,,,,,,
Move client APIs to apifabclient,FABG-599,27288,,Story,Closed,FABG,Fabric SDK Go,software,troyronda,,,Medium,Done,troyronda,troyronda,troyronda,01/Feb/18 6:04 AM,21/Jul/18 4:16 AM,28/Oct/23 3:24 AM,03/Feb/18 4:45 AM,,,,,,,,0,,,"The “low level” apitxn interfaces should be defined in the same package as the channel & resource client interfaces. Otherwise you end up with func signatures with interfaces from multiple packages.

So... I think we either we move the func interfaces from channel & resources into apitxn OR move the apitxn interfaces into apifabclient OR move both into a new txn subpackage of fabric-client.",,troyronda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unset,,,,,,,,,,,,"1|hzyv7r:",,,,Unset,,,,,,,,,,,Unset,,,,,,,,,,,troyronda,,,,,,,dependabot/go_modules/golang.org/x/crypto-0.1.0,dependabot/go_modules/test/performance/golang.org/x/net-0.7.0,main,dependabot/go_modules/golang.org/x/net-0.7.0,dependabot/go_modules/github.com/prometheus/client_golang-1.11.1,,,,,,,true,,,,,,,,,,,,
Use Reader in SaveChannel,FABG-600,28499,,Story,Closed,FABG,Fabric SDK Go,software,troyronda,,,Medium,Done,troyronda,troyronda,troyronda,14/Mar/18 5:04 AM,21/Jul/18 4:16 AM,28/Oct/23 3:24 AM,14/Mar/18 10:35 AM,,,,,,,,0,,,,,troyronda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unset,,,,,,,,,,,,"1|hzz16n:",,,,Unset,,,,,,,,,,,Unset,,,,,,,,,,,troyronda,,,,,,,dependabot/go_modules/golang.org/x/crypto-0.1.0,dependabot/go_modules/test/performance/golang.org/x/net-0.7.0,dependabot/go_modules/golang.org/x/net-0.7.0,main,dependabot/go_modules/github.com/prometheus/client_golang-1.11.1,,,,,,,true,,,,,,,,,,,,
SDK-Go - Extract primary peer joined logic to helper method,FABG-601,18823,,Story,Closed,FABG,Fabric SDK Go,software,troyronda,,,Medium,Done,emir.heidinger,emir.heidinger,emir.heidinger,30/Jun/17 12:49 AM,21/Jul/18 4:17 AM,28/Oct/23 3:24 AM,30/Jun/17 1:35 AM,,,,,,,,0,,,Extract the logic that checks if a primary peer has a joined a channel out of the JoinChannel and CreateChannel functions. The logic should be in its own helper function.,,emir.heidinger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FABG-660,,,,,,,,,,,,,,,Unset,,,,,,,,,,,,"1|hzy6dj:",,,,Unset,,,,,,,,,,,Unset,,,,,,,,,,,emir.heidinger,,,,,,,dependabot/go_modules/golang.org/x/crypto-0.1.0,dependabot/go_modules/test/performance/golang.org/x/net-0.7.0,main,dependabot/go_modules/golang.org/x/net-0.7.0,dependabot/go_modules/github.com/prometheus/client_golang-1.11.1,,,,,,,true,"30/Jun/17 12:54 AM;emir.heidinger;Also fixed the temporary fix for https://jira.hyperledger.org/browse/FAB-3493;;;",,,,,,,,,,,
SDK Go - Update error handling,FABG-602,16553,,Story,Closed,FABG,Fabric SDK Go,software,troyronda,,,Medium,Done,firas.qutishat,troyronda,troyronda,11/May/17 1:37 AM,21/Jul/18 4:15 AM,28/Oct/23 3:24 AM,15/Feb/18 12:39 AM,,,,,,,,0,Serviceability,,The Fabric error handling framework (found under common/errors) needs to be utilized throughout the codebase to provide error codes and the ability to append callstacks to error messages.,,troyronda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAB-2985,,,,,,,,,,,,Unset,,,,,,,,,,,,"1|hzx41r:",,,,Unset,,,,,,,,,,,Unset,,,,,,,,,,,troyronda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ledger Client: GetBlockByTxID,FABG-603,28661,,Story,Closed,FABG,Fabric SDK Go,software,troyronda,,,Medium,Done,sandrav,sandrav,sandrav,20/Mar/18 4:03 AM,21/Jul/18 4:16 AM,28/Oct/23 3:24 AM,20/Mar/18 5:26 AM,,,,,,,,0,,,Add new method GetBlockByTxID to ledger client.,,sandrav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unset,,,,,,,,,,,,"1|hzz21z:",,,,Unset,,,,,,,,,,,Unset,,,,,,,,,,,sandrav,,,,,,,dependabot/go_modules/golang.org/x/crypto-0.1.0,dependabot/go_modules/test/performance/golang.org/x/net-0.7.0,main,dependabot/go_modules/golang.org/x/net-0.7.0,dependabot/go_modules/github.com/prometheus/client_golang-1.11.1,,,,,,,true,,,,,,,,,,,,
clean up SDK's log calls,FABG-604,30834,,Story,Closed,FABG,Fabric SDK Go,software,troyronda,,,Medium,Done,Baha-sk,Baha-sk,Baha-sk,02/Jun/18 2:11 AM,21/Jul/18 4:16 AM,28/Oct/23 3:24 AM,02/Jun/18 5:08 AM,,,,,,,,0,,,,,Baha-sk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unset,,,,,,,,,,,,"1|hzzdrz:",,,,Unset,,,,,,,,,,,Unset,,,,,,,,,,,Baha-sk,,,,,,,dependabot/go_modules/golang.org/x/crypto-0.1.0,dependabot/go_modules/test/performance/golang.org/x/net-0.7.0,dependabot/go_modules/golang.org/x/net-0.7.0,main,dependabot/go_modules/github.com/prometheus/client_golang-1.11.1,,,,,,,true,,,,,,,,,,,,
Combine ChMgmtClient and ResourceMgmtClient into ResourceMgmtClient?,FABG-605,27396,,Story,Closed,FABG,Fabric SDK Go,software,troyronda,,,Medium,Done,,troyronda,troyronda,03/Feb/18 10:27 PM,21/Jul/18 4:16 AM,28/Oct/23 3:24 AM,23/Feb/18 7:25 AM,,,,,,,,0,,,,,troyronda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FABG-550,,,,,,,,,,,,,,,Unset,,,,,,,,,,,,"1|hzwznj:",,,,Unset,,,,,,,,,,,Unset,,,,,,,,,,,troyronda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remove wrapped error from fabric-client transactions,FABG-606,27291,,Story,Closed,FABG,Fabric SDK Go,software,troyronda,,,Medium,Done,divyank,troyronda,troyronda,01/Feb/18 6:25 AM,21/Jul/18 4:16 AM,28/Oct/23 3:24 AM,15/Feb/18 1:00 AM,,,,,,,,0,,,Part of FAB-8261,,troyronda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FABG-636,,,,,,,,,,,,,,,Unset,,,,,,,,,,,,"1|hzyvcv:",,,,Unset,,,,,,,,,,,Unset,,,,,,,,,,,troyronda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add stub for Fabric 1.2 discovery,FABG-607,28999,,Story,Closed,FABG,Fabric SDK Go,software,troyronda,,,Medium,Done,,troyronda,troyronda,30/Mar/18 2:14 AM,21/Jul/18 4:17 AM,28/Oct/23 3:24 AM,03/Apr/18 5:51 AM,,,,,,,,0,,,,,troyronda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unset,,,,,,,,,,,,"1|hzz3on:",,,,Unset,,,,,,,,,,,Unset,,,,,,,,,,,troyronda,,,,,,,dependabot/go_modules/golang.org/x/crypto-0.1.0,dependabot/go_modules/test/performance/golang.org/x/net-0.7.0,main,dependabot/go_modules/golang.org/x/net-0.7.0,dependabot/go_modules/github.com/prometheus/client_golang-1.11.1,,,,,,,true,,,,,,,,,,,,
Add unit test for EndorsementValidation,FABG-608,27553,,Story,Closed,FABG,Fabric SDK Go,software,troyronda,,,Medium,Done,,firas.qutishat,firas.qutishat,09/Feb/18 5:10 AM,21/Jul/18 4:15 AM,28/Oct/23 3:24 AM,09/Feb/18 6:32 AM,,,,,,,,0,,,,,firas.qutishat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unset,,,,,,,,,,,,"1|hzywov:",,,,Unset,,,,,,,,,,,Unset,,,,,,,,,,,firas.qutishat,,,,,,,dependabot/go_modules/golang.org/x/crypto-0.1.0,dependabot/go_modules/test/performance/golang.org/x/net-0.7.0,dependabot/go_modules/golang.org/x/net-0.7.0,main,dependabot/go_modules/github.com/prometheus/client_golang-1.11.1,,,,,,,true,,,,,,,,,,,,
Refactor proposal creation to inject txn ID,FABG-609,27854,,Story,Closed,FABG,Fabric SDK Go,software,troyronda,,,Medium,Done,,troyronda,troyronda,20/Feb/18 11:43 AM,21/Jul/18 4:17 AM,28/Oct/23 3:24 AM,21/Feb/18 4:47 AM,,,,,,,,0,,,,,troyronda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unset,,,,,,,,,,,,"1|hzyy5r:",,,,Unset,,,,,,,,,,,Unset,,,,,,,,,,,troyronda,,,,,,,dependabot/go_modules/golang.org/x/crypto-0.1.0,dependabot/go_modules/test/performance/golang.org/x/net-0.7.0,dependabot/go_modules/golang.org/x/net-0.7.0,main,dependabot/go_modules/github.com/prometheus/client_golang-1.11.1,,,,,,,true,,,,,,,,,,,,
Refactor api package,FABG-610,27036,,Story,Closed,FABG,Fabric SDK Go,software,troyronda,,,Medium,Done,sudeshrshetty,troyronda,troyronda,24/Jan/18 11:16 AM,21/Jul/18 4:16 AM,28/Oct/23 3:24 AM,24/Feb/18 11:33 AM,,,,,,,,0,,,,,troyronda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unset,,,,,,,,,,,,"1|hzwzj3:",,,,Unset,,,,,,,,,,,Unset,,,,,,,,,,,troyronda,,,,,,,dependabot/go_modules/golang.org/x/crypto-0.1.0,dependabot/go_modules/test/performance/golang.org/x/net-0.7.0,dependabot/go_modules/golang.org/x/net-0.7.0,main,dependabot/go_modules/github.com/prometheus/client_golang-1.11.1,,,,,,,true,,,,,,,,,,,,
Create Peer and Orderer from factory,FABG-611,28504,,Story,Closed,FABG,Fabric SDK Go,software,troyronda,,,Medium,Done,troyronda,troyronda,troyronda,14/Mar/18 11:16 AM,21/Jul/18 4:17 AM,28/Oct/23 3:24 AM,20/Mar/18 5:33 AM,,,,,,,,0,,,,,troyronda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unset,,,,,,,,,,,,"1|hzz17r:",,,,Unset,,,,,,,,,,,Unset,,,,,,,,,,,troyronda,,,,,,,dependabot/go_modules/golang.org/x/crypto-0.1.0,dependabot/go_modules/test/performance/golang.org/x/net-0.7.0,dependabot/go_modules/golang.org/x/net-0.7.0,main,dependabot/go_modules/github.com/prometheus/client_golang-1.11.1,,,,,,,true,,,,,,,,,,,,
remove targets from ChaincodeInvokeRequest,FABG-612,27401,,Story,Closed,FABG,Fabric SDK Go,software,troyronda,,,Medium,Done,biljana.lukovic,troyronda,troyronda,04/Feb/18 11:37 AM,21/Jul/18 4:15 AM,28/Oct/23 3:24 AM,20/Mar/18 5:42 AM,,,,,,,,0,,,,,troyronda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FABG-545,,,,,,,,,,,,Unset,,,,,,,,,,,,"1|hzwzrj:",,,,Unset,,,,,,,,,,,Unset,,,,,,,,,,,troyronda,,,,,,,dependabot/go_modules/golang.org/x/crypto-0.1.0,dependabot/go_modules/test/performance/golang.org/x/net-0.7.0,dependabot/go_modules/golang.org/x/net-0.7.0,main,dependabot/go_modules/github.com/prometheus/client_golang-1.11.1,,,,,,,true,,,,,,,,,,,,
Cache connections to peer and orderers,FABG-613,28093,,Story,Closed,FABG,Fabric SDK Go,software,troyronda,,,Medium,Done,,troyronda,troyronda,01/Mar/18 3:29 AM,21/Jul/18 4:17 AM,28/Oct/23 3:24 AM,20/Mar/18 5:35 AM,,,,,,,,0,,,,,troyronda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unset,,,,,,,,,,,,"1|hzyz87:",,,,Unset,,,,,,,,,,,Unset,,,,,,,,,,,troyronda,,,,,,,dependabot/go_modules/golang.org/x/crypto-0.1.0,dependabot/go_modules/test/performance/golang.org/x/net-0.7.0,main,dependabot/go_modules/golang.org/x/net-0.7.0,dependabot/go_modules/github.com/prometheus/client_golang-1.11.1,,,,,,,true,,,,,,,,,,,,
JoinChannel should obey WithOrdererID,FABG-614,28303,,Story,Closed,FABG,Fabric SDK Go,software,troyronda,,,Medium,Done,troyronda,troyronda,troyronda,09/Mar/18 1:44 AM,21/Jul/18 4:16 AM,28/Oct/23 3:24 AM,20/Mar/18 5:30 AM,,,,,,,,0,,,,,troyronda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unset,,,,,,,,,,,,"1|hzz0bb:",,,,Unset,,,,,,,,,,,Unset,,,,,,,,,,,troyronda,,,,,,,dependabot/go_modules/golang.org/x/crypto-0.1.0,dependabot/go_modules/test/performance/golang.org/x/net-0.7.0,dependabot/go_modules/golang.org/x/net-0.7.0,main,dependabot/go_modules/github.com/prometheus/client_golang-1.11.1,,,,,,,true,,,,,,,,,,,,
Rename factory methods to Create,FABG-615,27976,,Story,Closed,FABG,Fabric SDK Go,software,troyronda,,,Medium,Done,troyronda,troyronda,troyronda,24/Feb/18 8:59 AM,21/Jul/18 4:16 AM,28/Oct/23 3:24 AM,20/Mar/18 5:41 AM,,,,,,,,0,,,,,troyronda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unset,,,,,,,,,,,,"1|hzwzo7:",,,,Unset,,,,,,,,,,,Unset,,,,,,,,,,,troyronda,,,,,,,dependabot/go_modules/golang.org/x/crypto-0.1.0,dependabot/go_modules/test/performance/golang.org/x/net-0.7.0,main,dependabot/go_modules/golang.org/x/net-0.7.0,dependabot/go_modules/github.com/prometheus/client_golang-1.11.1,,,,,,,true,,,,,,,,,,,,
SDK Go - externalize CA root in mock data,FABG-616,17412,,Story,Closed,FABG,Fabric SDK Go,software,troyronda,,,Medium,Done,firas.qutishat,firas.qutishat,firas.qutishat,03/Jun/17 1:53 AM,21/Jul/18 4:17 AM,28/Oct/23 3:24 AM,15/Jun/17 12:11 AM,,,,,,,,0,,,"We need to externalize CA root in mock data to enable different test to configure their own CA root.

 ",,firas.qutishat,,,,,,,,,,,,,Not a security issue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unset,,,,,,,,,,,,"1|hzxyif:",,,,Unset,,,,,,,,,,,Unset,,,,,,,,,,,firas.qutishat,,,,,,,dependabot/go_modules/golang.org/x/crypto-0.1.0,dependabot/go_modules/test/performance/golang.org/x/net-0.7.0,dependabot/go_modules/golang.org/x/net-0.7.0,main,dependabot/go_modules/github.com/prometheus/client_golang-1.11.1,,,,,,,true,"03/Jun/17 2:53 AM;troyronda;[~firas.qutishat] - it would be good to describe the rationale for changes :).;;;",,,,,,,,,,,
Speed up tests by disabling insecure retries,FABG-617,27890,,Story,Closed,FABG,Fabric SDK Go,software,troyronda,,,Medium,Done,,troyronda,troyronda,21/Feb/18 9:43 AM,21/Jul/18 4:16 AM,28/Oct/23 3:24 AM,24/Feb/18 11:34 AM,,,,,,,,0,,,,,troyronda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unset,,,,,,,,,,,,"1|hzyyb3:",,,,Unset,,,,,,,,,,,Unset,,,,,,,,,,,troyronda,,,,,,,dependabot/go_modules/golang.org/x/crypto-0.1.0,dependabot/go_modules/test/performance/golang.org/x/net-0.7.0,dependabot/go_modules/golang.org/x/net-0.7.0,main,dependabot/go_modules/github.com/prometheus/client_golang-1.11.1,,,,,,,true,,,,,,,,,,,,
Initial logging modules,FABG-618,28217,,Story,Closed,FABG,Fabric SDK Go,software,troyronda,,,Medium,Done,,troyronda,troyronda,06/Mar/18 1:55 AM,21/Jul/18 4:17 AM,28/Oct/23 3:24 AM,06/Mar/18 5:55 AM,,,,,,,,0,,,,,troyronda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unset,,,,,,,,,,,,"1|hzyzvb:",,,,Unset,,,,,,,,,,,Unset,,,,,,,,,,,troyronda,,,,,,,dependabot/go_modules/golang.org/x/crypto-0.1.0,dependabot/go_modules/test/performance/golang.org/x/net-0.7.0,dependabot/go_modules/golang.org/x/net-0.7.0,main,dependabot/go_modules/github.com/prometheus/client_golang-1.11.1,,,,,,,true,,,,,,,,,,,,
Ledger Client: Signature validation,FABG-619,28619,,Story,Closed,FABG,Fabric SDK Go,software,troyronda,,,Medium,Done,sandrav,sandrav,sandrav,17/Mar/18 4:55 AM,21/Jul/18 4:17 AM,28/Oct/23 3:24 AM,20/Mar/18 5:27 AM,,,,,,,,0,,,Add signature validation for ledger client. Evaluate all methods.,,sandrav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unset,,,,,,,,,,,,"1|hzz1t3:",,,,Unset,,,,,,,,,,,Unset,,,,,,,,,,,sandrav,,,,,,,dependabot/go_modules/golang.org/x/crypto-0.1.0,dependabot/go_modules/test/performance/golang.org/x/net-0.7.0,main,dependabot/go_modules/golang.org/x/net-0.7.0,dependabot/go_modules/github.com/prometheus/client_golang-1.11.1,,,,,,,true,,,,,,,,,,,,
Add support for Certificates API on Go SDK,FABG-620,29190,,Story,To Do,FABG,Fabric SDK Go,software,troyronda,,,Medium,,bstasyszyn,skarim,skarim,05/Apr/18 11:40 PM,19/Dec/21 9:54 PM,28/Oct/23 3:24 AM,,,,,,,,,0,,,"Add support for Certificates API on Go SDK

See swagger doc in https://gerrit.hyperledger.org/r/#/c/18951/",,skarim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unset,,,FABC-587,,,,,,,,,"1|hzwtc4:",,,,Unset,,,,,,,,,,,Unset,,,,,,,,,,,skarim,,,,,,,,,,,,,,,,,,,"13/Dec/18 11:52 PM;skarim;Hi [~bstasyszyn], is this something you could look into?;;;",,,,,,,,,,,
Make config pem and paths consistent,FABG-621,26925,,Story,Closed,FABG,Fabric SDK Go,software,troyronda,,,Medium,Done,sudeshrshetty,troyronda,troyronda,18/Jan/18 10:41 AM,21/Jul/18 4:17 AM,28/Oct/23 3:24 AM,20/Feb/18 9:24 AM,,,,,,,,0,,,,,troyronda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unset,,,,,,,,,,,,"1|hzwznb:",,,,Unset,,,,,,,,,,,Unset,,,,,,,,,,,troyronda,,,,,,,dependabot/go_modules/golang.org/x/crypto-0.1.0,dependabot/go_modules/test/performance/golang.org/x/net-0.7.0,main,dependabot/go_modules/golang.org/x/net-0.7.0,dependabot/go_modules/github.com/prometheus/client_golang-1.11.1,,,,,,,true,,,,,,,,,,,,
Allow app using Go SDK to specify environment prefix,FABG-622,16155,,Story,Closed,FABG,Fabric SDK Go,software,troyronda,,,Medium,Done,emir.heidinger,troyronda,troyronda,02/May/17 10:34 PM,21/Jul/18 4:16 AM,28/Oct/23 3:24 AM,03/May/17 4:12 AM,,,,,,,,0,,,,,troyronda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unset,,,,,,,,,,,,"1|hzxoq7:",,,,Unset,,,,,,,,,,,Unset,,,,,,,,,,,troyronda,,,,,,,dependabot/go_modules/golang.org/x/crypto-0.1.0,dependabot/go_modules/test/performance/golang.org/x/net-0.7.0,dependabot/go_modules/golang.org/x/net-0.7.0,main,dependabot/go_modules/github.com/prometheus/client_golang-1.11.1,,,,,,,true,,,,,,,,,,,,
Increase default timeout when no config is specified,FABG-623,29148,,Story,Closed,FABG,Fabric SDK Go,software,troyronda,,,Medium,Done,Baha-sk,Baha-sk,Baha-sk,05/Apr/18 3:51 AM,21/Jul/18 4:17 AM,28/Oct/23 3:24 AM,06/Apr/18 12:16 AM,,,,,,,,0,,,"If the sdk client does not set any timeout values in the configs, then make sure the default timeouts are set and are large enough to avoid premature operations failures at the client level",,Baha-sk,,,,,,,,,,,,,,,,,,,,,,,,,,,FABG-511,,,,,,,,,,,,,,,,,Unset,,,,,,,,,,,,"1|hzz4j3:",,,,Unset,,,,,,,,,,,Unset,,,,,,,,,,,Baha-sk,,,,,,,dependabot/go_modules/golang.org/x/crypto-0.1.0,dependabot/go_modules/test/performance/golang.org/x/net-0.7.0,dependabot/go_modules/golang.org/x/net-0.7.0,main,dependabot/go_modules/github.com/prometheus/client_golang-1.11.1,,,,,,,true,,,,,,,,,,,,
